	mRNA_log2FC	RPF_log2FC	log2FC_TE_v1	pvalue_v1	WT_SMG1i_log2TE	GIGYF2_SMG1i_log2TE	log2FC_TE_v2	pvalue_v2	log2FC_TE_final	pvalue_final	pvalue.adjust
ENST00000253047.7	0.072817536176963	-0.0960109621126133	-0.172823475521554	0.622391261314464	2.45929680456603	2.29046856203527	-0.168178820890877	0.556603585785413	-0.172823475521554	0.622391261314464	0.927563322951019
ENST00000270538.8	-0.130485988524684	-0.192070172938886	-0.0620381252597639	0.542264986377882	0.0104045517320828	-0.0511796542810675	-0.0615457597263014	0.577871370649831	-0.0615457597263014	0.577871370649831	0.91568321009171
ENST00000395047.6	-0.231814856522715	-0.202812933436273	0.0287182020126584	0.688291839337108	0.661315446615122	0.690317386554628	0.0290073465172241	0.61989855181428	0.0287182020126584	0.688291839337108	0.949221111025412
ENST00000261438.10	-0.413656872193457	-0.320347988045251	0.092122044329471	0.595140629117998	-1.15914373507431	-1.06583496422029	0.0934061851585111	0.653211225474245	0.0934061851585111	0.653211225474245	0.938083182471435
ENST00000156084.8	-0.387839578052211	-0.453667661229219	-0.0666523673161568	0.565729129773667	-0.120472988337552	-0.186301088066101	-0.0658525393172269	0.589582618418024	-0.0658525393172269	0.589582618418024	0.918867967251437
ENST00000578681.5	0.659716734010922	0.140925375830946	-0.519174816402533	1.27068255948889e-07	-1.23650374957422	-1.75529514693402	-0.518706880068941	1.15835655169446e-05	-0.518706880068941	1.15835655169446e-05	0.000449862813118921
ENST00000382452.6	-0.438394863000803	-0.464264008565074	-0.0261791111547003	0.701634146453357	-0.424400585516063	-0.450269724017279	-0.0258539046926385	0.689672980760051	-0.0261791111547003	0.701634146453357	0.951630352666009
ENST00000638119.2	-1.69415285822983	-0.0446473824768475	1.64794271385659	3.67913737339693e-07	2.03614989506313	3.68565563629495	1.64982065850554	3.10038786023994e-19	1.64794271385659	3.67913737339693e-07	2.01760935456687e-05
ENST00000357988.9	-0.414780631156427	0.612695713366425	1.01828074291455	0.307509983810115	-1.15716716377135	-0.12971959999847	1.0081968861618	0.780341439801923	1.0081968861618	0.780341439801923	0.968037793979825
ENST00000651723.1	-0.188441380925738	0.949599981349522	1.12977587294656	0.037568023084656	-0.324752854917598	0.813288110904593	1.15107638124126	0.0656427145778083	1.15107638124126	0.0656427145778083	0.381651009156964
ENST00000260600.9	0.117047788180321	-0.0434085153585424	-0.162652311644591	0.491022780292293	-0.642186955157326	-0.802643438431021	-0.159663424072577	0.574026442643988	-0.159663424072577	0.574026442643988	0.913910599637031
ENST00000278060.10	0.937407603914667	1.6047612658661	0.670293418397992	0.408375387856613	0.128822105452959	0.796173605390729	0.607339340483572	0.683062354693388	0.607339340483572	0.683062354693388	0.947727752142635
ENST00000371442.4	-0.49619815273465	-0.649133105350421	-0.154010493514102	0.390396375857684	-0.561976059532794	-0.714911141393633	-0.153449257184429	0.467648401363328	-0.153449257184429	0.467648401363328	0.873503592445975
ENST00000572944.1	0.687615716316065	0.503766608001654	-0.181961668045905	0.944060701674449	-0.661729953848592	-0.845581852901363	-0.174864197686643	0.882766118614922	-0.181961668045905	0.944060701674449	0.996513171646127
ENST00000620995.5	0.470771951458334	0.290673984090933	-0.181354191268137	0.338473459535296	0.313118412481241	0.133020378353602	-0.17927160344013	0.398336557751341	-0.17927160344013	0.398336557751341	0.83546147947334
ENST00000333213.11	0.048808202577802	0.0607799915902101	0.0101097432679567	0.959872022619561	0.23093552104545	0.242907273959572	0.0124535690897771	0.949270661479384	0.0101097432679567	0.959872022619561	0.997247085191096
