	mRNA_log2FC	RPF_log2FC	log2FC_TE_v1	pvalue_v1	WT_SMG1i_log2TE	GIGYF2_SMG1i_log2TE	log2FC_TE_v2	pvalue_v2	log2FC_TE_final	pvalue_final	pvalue.adjust
ENST00000253047.7	0.38622241144946	0.27376296639647	-0.116377510590052	0.751148930756349	2.4036247939793	2.29116552469818	-0.109735435898101	0.747312854206488	-0.116377510590052	0.751148930756349	0.999999612924786
ENST00000373544.5	0.336872217561059	0.719329379968624	0.377995714238371	0.4265989984366	-1.24126581822898	-0.858809610279559	0.399585222815832	0.566644931587122	0.399585222815832	0.566644931587122	0.999999612924786
ENST00000270538.8	-0.241822341030496	-0.240007521853741	0.00156124501600763	0.98674241126288	-0.0535917739225721	-0.0517769921271485	0.0020816599914355	0.986130951807507	0.00156124501600763	0.98674241126288	0.999999612924786
ENST00000395047.6	0.0933053769241145	0.00127757127668791	-0.0923401909346879	0.237466932822028	0.781082710724296	0.689054922850716	-0.0919181035433669	0.17042975613959	-0.0923401909346879	0.237466932822028	0.988000991661796
ENST00000261438.10	-0.1623755691679	-0.2755723471636	-0.114328212569776	0.60423731134737	-0.952142344618976	-1.06533937443281	-0.11249407475605	0.68277702960264	-0.11249407475605	0.68277702960264	0.999999612924786
ENST00000156084.8	-0.318797889915952	-0.506874715971895	-0.18886534194093	0.122481614376783	0.000403632452143296	-0.187673217089226	-0.187968830719224	0.14989328166494	-0.187968830719224	0.14989328166494	0.937795330381042
ENST00000578681.5	-0.142906954745659	0.0305067548805053	0.173208063464187	0.0982213386587743	-1.92934301427806	-1.75592936607459	0.173664723527435	0.186795275175442	0.173664723527435	0.186795275175442	0.963215451028766
ENST00000382452.6	-0.323466277957332	-0.370597100677168	-0.0474421119055217	0.520583029953125	-0.404450010071901	-0.451580829342458	-0.0471126526964076	0.516309150451182	-0.0474421119055217	0.520583029953125	0.999999612924786
ENST00000638119.2	-1.56155042130687	0.0770862262106567	1.63682327700724	2.08394871355771e-06	2.04731163004189	3.68594849656093	1.63965387464738	1.96659420266352e-16	1.63682327700724	2.08394871355771e-06	0.000288191641716683
ENST00000357988.9	-0.380272819440498	-0.819241125553558	-0.439767463527508	0.150240002819957	0.326374819519806	-0.112593957868794	-0.439340682304444	0.232434905197151	-0.439340682304444	0.232434905197151	0.98529678076595
ENST00000651723.1	-0.0104025630591173	0.178052640279826	0.178090816318361	0.757137887972031	0.6252335913529	0.813688559834943	0.197085786213013	0.726516434487438	0.178090816318361	0.757137887972031	0.999999612924786
ENST00000260600.9	0.00366526572643906	0.0158311518221631	0.0105193007592197	0.956827114857507	-0.815326253138821	-0.803160658898495	0.0144645610851653	0.961700754596775	0.0144645610851653	0.961700754596775	0.999999612924786
ENST00000371442.4	0.00885207910008604	-0.16866809522022	-0.178498495427793	0.387518976336837	-0.54243285946759	-0.719953170427989	-0.176809802495638	0.490699950656903	-0.176809802495638	0.490699950656903	0.999999612924786
ENST00000620995.5	-0.347996939599248	-0.23890321589715	0.108501821475964	0.575192884024023	0.0246169365292898	0.133710496456631	0.109909227613257	0.641639785110293	0.109909227613257	0.641639785110293	0.999999612924786
ENST00000333213.11	0.153795165876417	0.262734779916039	0.107782252390243	0.608359086208516	0.134981426882217	0.243920957056166	0.110193552287586	0.655207197152642	0.110193552287586	0.655207197152642	0.999999612924786
ENST00000373279.6	0.516740155219472	0.264909330337827	-0.262357725960561	0.609315901628884	0.948494102834266	0.696663017758397	-0.243141047946902	0.672457792287074	-0.243141047946902	0.672457792287074	0.999999612924786
ENST00000265421.9	0.20830967290805	0.057799185268044	-0.152654303840484	0.515137155313745	0.459306892394682	0.308796324893301	-0.148953119010187	0.563795674061702	-0.148953119010187	0.563795674061702	0.999999612924786
ENST00000326735.13	-0.48374112116815	-0.836764732328162	-0.353844883378675	0.361213418172935	-0.291807147795149	-0.644831694485862	-0.352472959149946	0.459633241182994	-0.352472959149946	0.459633241182994	0.999999612924786
ENST00000358595.10	-0.133540488649799	-0.0761482153598737	0.0563600825150594	0.753677941749555	-0.156151957616031	-0.0987598428661713	0.0582945348304813	0.794240527087259	0.0582945348304813	0.794240527087259	0.999999612924786
ENST00000612570.4	-0.030574199236396	-0.147176378947442	-0.117693619495304	0.590421213943746	0.861391777178619	0.744789491355308	-0.115913521183067	0.630802817782099	-0.115913521183067	0.630802817782099	0.999999612924786
ENST00000343067.8	-0.617467589152266	-0.502540264633623	0.114600362599933	0.216588906233693	-0.784685654902285	-0.669758350069698	0.115063393389519	0.255895726680994	0.115063393389519	0.255895726680994	0.996063836033153
ENST00000643045.1	0.0342105202539981	0.454030316883208	0.418104512472146	0.274256877602779	-1.30936577713345	-0.889546837916253	0.42646370341097	0.441115673578268	0.42646370341097	0.441115673578268	0.999999612924786
ENST00000330501.12	-0.640111412772566	-0.414150608009692	0.2232407715286	0.509247425069746	-1.78854496087881	-1.56258485194384	0.228516093679132	0.624500556999782	0.228516093679132	0.624500556999782	0.999999612924786
ENST00000395321.6	-2.08611044103388	-1.9382787945677	0.147304514157537	0.403964126284598	2.0428302315205	2.19066185404695	0.147304513216611	0.369021686621543	0.147304514157537	0.403964126284598	0.999999612924786
ENST00000646001.2	-0.316267216251706	-0.282194171065132	0.0341154087628799	0.876760612650458	0.511810546289306	0.545882545291236	0.0346554599432993	0.94324979885769	0.0346554599432993	0.94324979885769	0.999999612924786
ENST00000308330.3	0.0254040217201409	0.490517283698294	0.463038173877573	0.0709017791838964	0.0773616850252172	0.542474773753783	0.468109401603442	0.120464326671798	0.468109401603442	0.120464326671798	0.887387497298732
ENST00000510994.5	-0.0738917266539951	0.0791575294305218	0.151506444591651	0.478554569821794	-0.179020714555402	-0.0259716056807199	0.15419939185904	0.542675998788222	0.15419939185904	0.542675998788222	0.999999612924786
ENST00000378617.4	-0.123120892475665	0.1980009295756	0.319589960692068	0.141863256259995	1.41669813466609	1.73782000210631	0.321936070568801	0.086627816219509	0.319589960692068	0.141863256259995	0.928613585764197
ENST00000335154.10	0.135191820042711	0.28100908999335	0.149862476609629	0.612977698234405	-1.73436741659936	-1.58856742434896	0.100628382835181	0.969555182108253	0.100628382835181	0.969555182108253	0.999999612924786
ENST00000314754.12	0.134885244618815	0.174878521007267	0.0395558863354346	0.807244247436045	1.35711655097979	1.39710972502399	0.0404039721376558	0.822404457693459	0.0404039721376558	0.822404457693459	0.999999612924786
ENST00000369541.4	0.0641409517291483	0.243890917457099	0.179355833650422	0.211046984321505	0.36798389954347	0.547733819974157	0.18043743973368	0.255265087883343	0.18043743973368	0.255265087883343	0.995289771555926
ENST00000376693.3	0.036880549482829	-0.166506347028406	-0.208698785808923	0.589279696542888	2.07886612740816	1.87547916957367	-0.201701457133741	0.564246552999258	-0.208698785808923	0.589279696542888	0.999999612924786
ENST00000267436.9	-0.101580982665183	-0.00595577789814426	0.0937498157373695	0.720178632373217	1.29849897242301	1.39412413143454	0.0966979224000291	0.706006217844509	0.0937498157373695	0.720178632373217	0.999999612924786
ENST00000342374.5	0.0752590654764258	0.137977011761316	0.0623351565487829	0.660446537556275	-0.13963221230855	-0.076914338393392	0.0633549086230709	0.7061388057221	0.0633549086230709	0.7061388057221	0.999999612924786
ENST00000568546.6	0.191701598423293	-0.0756696803091999	-0.267624470175209	0.0441727347159343	1.94638314343032	1.67901187373588	-0.267265728908413	0.0325212197902192	-0.267624470175209	0.0441727347159343	0.644635783807572
ENST00000242591.10	0.363488052516354	0.225925489809342	-0.141028459704229	0.772931625753165	-0.421050188110575	-0.558613797194097	-0.130713580230691	0.821255819075258	-0.130713580230691	0.821255819075258	0.999999612924786
ENST00000671730.1	0.0970558805627123	0.239790608511494	0.141064702620314	0.747496112405065	-0.934271021957086	-0.791537566458919	0.151051419293767	0.828659259472439	0.151051419293767	0.828659259472439	0.999999612924786
ENST00000251968.4	-0.16922807243853	0.233220890989631	0.401103210889394	0.0461558428129167	1.01408820910213	1.41653716021522	0.40344605649915	0.0391223476143498	0.401103210889394	0.0461558428129167	0.660173357028632
ENST00000315891.10	0.614428583138226	0.336321677502994	-0.278211968207824	0.678509841865557	1.69107705723285	1.41296920083307	-0.27238110002988	0.709982787011206	-0.27238110002988	0.709982787011206	0.999999612924786
