	mRNA_log2FC	RPF_log2FC	log2FC_TE_v1	pvalue_v1	WT_DMSO_log2TE	WT_SMG1i_log2TE	log2FC_TE_v2	pvalue_v2	log2FC_TE_final	pvalue_final	pvalue.adjust
ENST00000253047.7	-0.303171404694406	-0.357887568040238	-0.0637380681582069	0.848970291824201	2.42068884172378	2.36597306133613	-0.0564433705801594	0.845713502712223	-0.0637380681582069	0.848970291824201	0.987674101333158
ENST00000270538.8	0.12036614850585	0.0563454403138024	-0.0645310432878021	0.496328020777034	-0.028307000286695	-0.0923277198915039	-0.0641974641261223	0.526001081941772	-0.0641974641261223	0.526001081941772	0.909025621310532
ENST00000395047.6	-0.316226689620222	-0.197701054398001	0.118074518591626	0.100410482578607	0.622503412528071	0.741029063062511	0.118456846426329	0.0480000103393155	0.118074518591626	0.100410482578607	0.503545135627105
ENST00000261438.10	-0.242642472199031	-0.0389704659040897	0.202312790706318	0.311095905238501	-1.19804324806567	-0.994371407097977	0.202873207963827	0.415473291434973	0.202873207963827	0.415473291434973	0.849105339512716
ENST00000156084.8	-0.059903530814987	0.0601546072140427	0.119210670995873	0.285215907700172	-0.159417437111792	-0.0393593086210282	0.11996676359252	0.299771197191471	0.11996676359252	0.299771197191471	0.775283546020364
ENST00000578681.5	0.811635252194786	0.116548955798215	-0.69540180465078	3.67633696291557e-13	-1.27543188137918	-1.97051820898822	-0.695225911772167	1.25723291303384e-09	-0.695225911772167	1.25723291303384e-09	1.59039963498781e-07
ENST00000382452.6	-0.105877645797109	-0.0873870010741811	0.018128908111708	0.77702440876392	-0.463230071218012	-0.444739424496544	0.0184526386364883	0.769454158677582	0.018128908111708	0.77702440876392	0.975439110942319
ENST00000638119.2	-0.124798041458682	-0.114915061322161	0.00576848323243251	0.999325667228081	1.99720568182495	2.00708883570349	0.00926168079122408	0.961814289895456	0.00576848323243251	0.999325667228081	0.999992809557747
ENST00000357988.9	-0.0254395257681693	1.45500101148432	1.47503383823122	0.190728517517039	-1.19310512292081	0.287313368778667	1.47632580873768	0.68720155596867	1.47632580873768	0.68720155596867	0.955281164295289
ENST00000260600.9	0.122273790489481	-0.0529306045923442	-0.178497796140594	0.497711784108146	-0.681010241407133	-0.85621481401146	-0.176527685254592	0.569006598086096	-0.176527685254592	0.569006598086096	0.919032756721252
ENST00000371442.4	-0.495890012667233	-0.474959055302715	0.019011904307098	0.913591005243054	-0.600643743763853	-0.57971285987456	0.0198961785953613	0.919803816056457	0.0198961785953613	0.919803816056457	0.994037071323103
ENST00000620995.5	0.827597814127939	0.535791324251792	-0.293736459912238	0.119427509702981	0.274217076843003	-0.0175894624005503	-0.291580827821698	0.165505570748969	-0.291580827821698	0.165505570748969	0.62801513909995
ENST00000333213.11	-0.0958596259240153	-0.191049601461222	-0.0979708116286013	0.643362835402322	0.192237781016987	0.097047759282919	-0.0959553199579837	0.668252560880954	-0.0959553199579837	0.668252560880954	0.954472760494229
ENST00000265421.9	-0.148166660973154	-0.32459975693166	-0.18050633013096	0.445271815682547	0.596821778746095	0.420388689814103	-0.177440035938349	0.443682250335884	-0.18050633013096	0.445271815682547	0.86907133052868
ENST00000326735.13	0.121113996630836	0.243057680513227	0.121475471753764	0.673167968378049	-0.456422402436536	-0.334479236451174	0.121475465538378	0.77072492429998	0.121475465538378	0.77072492429998	0.974167467001748
ENST00000358595.10	-0.0919553269631054	-0.280016968186885	-0.189850719194171	0.255100773352135	-0.010813272152433	-0.198874954388907	-0.188900471916057	0.293943784165153	-0.188900471916057	0.293943784165153	0.768355596644738
ENST00000612570.4	-0.221391329299967	-0.0415651550677186	0.178090055372625	0.426238373505471	0.641373422889604	0.821199512476673	0.179166125395789	0.45614194691355	0.179166125395789	0.45614194691355	0.874106514441418
ENST00000343067.8	-0.247318479956895	-0.136589166709015	0.110402183301194	0.193333815089696	-0.935499864298315	-0.824770566040956	0.110613276556341	0.236570061858547	0.110613276556341	0.236570061858547	0.71532354530192
ENST00000643045.1	0.215571131301843	0.770592009582762	0.552653276845566	0.258703875201805	-1.91246303565043	-1.35744314152992	0.558240799549434	0.444391365274365	0.558240799549434	0.444391365274365	0.86852538437209
ENST00000330501.12	-0.272669030535649	-0.355750975667033	-0.0867231770458341	0.79119836985088	-1.75024656722288	-1.83332887558084	-0.0867231801698951	0.825072431201448	-0.0867231801698951	0.825072431201448	0.984624776695669
ENST00000395321.6	-0.221521975528393	-0.194078683803139	0.0271461702175841	0.834330647864599	1.97354706185181	2.00099035714988	0.0273281430854085	0.817874401211683	0.0271461702175841	0.834330647864599	0.986238761634838
ENST00000646001.2	0.419273492317782	0.925903385245685	0.506195098139024	0.0678174483776911	-0.03843164517882	0.468197916287738	0.507289995573245	0.171333396669053	0.507289995573245	0.171333396669053	0.637708705452798
ENST00000308330.3	-0.409876117025893	-0.514424669204865	-0.10841225349456	0.68455081429113	0.142439263410952	0.0378905954693042	-0.106340683554657	0.710398889429076	-0.106340683554657	0.710398889429076	0.95913916516372
