	mRNA_log2FC	RPF_log2FC	log2FC_TE_v1	pvalue_v1	WT_SMG1i_log2TE	EIF4E2_SMG1i_log2TE	log2FC_TE_v2	pvalue_v2	log2FC_TE_final	pvalue_final	pvalue.adjust
ENST00000253047.7	-0.216312715488152	-0.141576117224752	0.0700756378747576	0.89863301044235	2.47045767941845	2.54519476614067	0.0751136202455135	0.733262900621157	0.0700756378747576	0.89863301044235	0.97897616557736
ENST00000270538.8	-0.0405348047732505	-0.116152063008598	-0.0762408022311072	0.405594408815983	0.0212076247202867	-0.0544096043001076	-0.0755778948183016	0.324908303926122	-0.0762408022311072	0.405594408815983	0.760954970013149
ENST00000395047.6	-0.185756303721535	-0.20527992933552	-0.0196528204386749	0.784495028123467	0.671872042330051	0.65234843282009	-0.0194494183921257	0.75468596200902	-0.0196528204386749	0.784495028123467	0.941272366190901
ENST00000261438.10	-0.0652450596775217	0.173339784107233	0.237088119376982	0.102601603193717	-1.14837964177154	-0.909794840099123	0.239078929362814	0.14340974243757	0.239078929362814	0.14340974243757	0.472360177981071
ENST00000156084.8	-0.132517299119806	-0.0586739497626972	0.072985677373772	0.483322914429207	-0.11021245857792	-0.0363690818565763	0.0738362078320631	0.401840345041611	0.072985677373772	0.483322914429207	0.811859566715686
ENST00000578681.5	0.61511719970002	-0.00191114411706666	-0.617612503095575	2.91888887315725e-15	-1.22627634011037	-1.84330468130973	-0.617060693425125	4.57976302858e-14	-0.617060693425125	4.57976302858e-14	5.90516825744643e-12
ENST00000382452.6	-0.328007885715763	-0.31543208421552	0.012256801771579	0.851390949621095	-0.413945785464246	-0.401369962477157	0.0126120497640421	0.79284567082026	0.012256801771579	0.851390949621095	0.962563116272523
ENST00000638119.2	-0.890596834444764	-0.313952821766093	0.573698346194072	0.080243919163615	2.04636567548504	2.62301011415752	0.576671110718581	0.000254247507654073	0.573698346194072	0.080243919163615	0.344752831599014
ENST00000357988.9	-0.471728740112089	0.641284876734651	1.1089316462703	0.284214849206498	-1.14559006730042	-0.0326049507552335	1.10025936937978	0.763768384827828	1.10025936937978	0.763768384827828	0.930294978136917
ENST00000651723.1	-1.19224342411325	0.909083723254443	2.0987647610434	0.0030307898815333	-0.314911542282771	1.78641518889765	2.11635002894033	0.00358424736723411	2.11635002894033	0.00358424736723411	0.0394522187342608
ENST00000260600.9	0.0715279572673193	-0.216863393551147	-0.29194839740492	0.187178269084946	-0.631169802475068	-0.919561223992927	-0.288169366566344	0.244322482430194	-0.288169366566344	0.244322482430194	0.613127156441481
ENST00000371442.4	-0.698506021863752	-0.565972002137907	0.130648398413094	0.379529092552256	-0.551003478075318	-0.418469461324633	0.132314831948197	0.369558771821135	0.130648398413094	0.379529092552256	0.740894677311856
ENST00000620995.5	0.439570747377905	0.24081726925192	-0.20075750035196	0.228184982745627	0.323692336202307	0.124938879324717	-0.198314761925203	0.220957720049875	-0.20075750035196	0.228184982745627	0.594175418608053
ENST00000333213.11	-0.0445476666861664	0.0955610638342045	0.137879408667195	0.445482063278807	0.241616940411346	0.381725704370952	0.140556373566553	0.388818704017755	0.137879408667195	0.445482063278807	0.789364842837629
ENST00000373279.6	1.44495917849872	1.85471818538256	0.404183441472002	0.392280706719535	0.233730046342944	0.643489063074783	0.425695810080899	0.425038043832821	0.425695810080899	0.425038043832821	0.776410072499289
ENST00000265421.9	0.0967978495965008	-0.0314684969756193	-0.130612119396101	0.506086780073834	0.646368871922763	0.518102579690509	-0.127989053964596	0.478500682730586	-0.130612119396101	0.506086780073834	0.823036924171125
ENST00000326735.13	0.173689278972617	-0.0820607220746804	-0.258013726433282	0.150991872429576	-0.407563660557909	-0.663313678152407	-0.255370538109481	0.180329094549076	-0.255370538109481	0.180329094549076	0.532336991840022
ENST00000358595.10	-0.179814537741164	-0.447778697998832	-0.26962232801174	0.0574955446131858	0.0385431698505962	-0.229420968416972	-0.267999859323873	0.0466548013804485	-0.26962232801174	0.0574955446131858	0.28266622415084
ENST00000612570.4	-0.410611748239529	-0.314768566703687	0.0935228904649921	0.623143400130608	0.691399065413141	0.787242311091431	0.0957956845000352	0.541780951137836	0.0935228904649921	0.623143400130608	0.880960677919264
ENST00000343067.8	-0.410361148658707	-0.284060210169588	0.125859924408298	0.103039450459623	-0.88632252607452	-0.760021581689812	0.126377866915652	0.0887333665337542	0.125859924408298	0.103039450459623	0.394270818701997
ENST00000643045.1	0.172618219318957	0.776294794375496	0.602773737048257	0.154258434894654	-1.86273125658026	-1.25905546639217	0.613880116034679	0.321871392071358	0.613880116034679	0.321871392071358	0.688997728153218
ENST00000330501.12	-0.0495368914993249	0.0561516915565946	0.103753428655482	0.67243761512075	-1.7006798830395	-1.5949915654732	0.106591433252767	0.739572030904698	0.106591433252767	0.739572030904698	0.921153048979085
ENST00000395321.6	-1.5162786645418	-1.5077193954983	0.00757873233822526	0.962941728511969	2.02280006570497	2.03135943674727	0.00843679303768141	0.915384418149934	0.00757873233822526	0.962941728511969	0.994966374842101
ENST00000646001.2	0.518804148220244	1.0174976280535	0.497838488813572	0.0070746866302002	0.0117136274186303	0.510407073159836	0.500231850212233	0.0144404758235439	0.500231850212233	0.0144404758235439	0.112413030113241
ENST00000308330.3	-0.442063337513308	-0.201136453850612	0.237955544463325	0.292841920765842	0.192464681677387	0.433391583680954	0.240980403956166	0.256625932171217	0.237955544463325	0.292841920765842	0.663134192727334
ENST00000574813.5	-0.347946707596555	0.522408545341809	0.866174502548372	0.16571070728889	0.100289132011629	0.970643843068598	0.880625257777096	0.213852038401503	0.880625257777096	0.213852038401503	0.576817148810952
ENST00000510994.5	-0.418244084467528	-0.153506820799204	0.262441904393518	0.136177972090819	-0.292442843109495	-0.0277055730623016	0.265047374744551	0.120861607858997	0.262441904393518	0.136177972090819	0.458626746180243
ENST00000378617.4	0.161777587389672	0.427585346783961	0.263184694276775	0.269047501015386	1.5156914949265	1.7814994135255	0.266380803671838	0.0865927365860259	0.263184694276775	0.269047501015386	0.637763474270986
ENST00000335154.10	-0.282090477848344	-1.34385933333238	-1.01325310827494	0.936180610752007	-0.403124313513673	-1.46491934533406	-1.02645454359435	0.738434420940238	-1.01325310827494	0.936180610752007	0.990457213039001
ENST00000319595.5	0.0407296339001612	0.868223383088903	0.821509512775899	0.0644870675046626	-1.18115912987903	-0.353665786597358	0.837339910474537	0.12854753663166	0.837339910474537	0.12854753663166	0.444256020822434
ENST00000314754.12	0.2325962203256	0.300966443720862	0.0673351601179542	0.611602769609259	1.10803253148386	1.17640281202933	0.0685116336358368	0.474493769768714	0.0673351601179542	0.611602769609259	0.875186977447691
ENST00000369541.4	-0.166234083603615	-0.240848430998909	-0.075609918328329	0.505799951663823	0.526378939106137	0.451764644546877	-0.0744861017848559	0.39931305491437	-0.075609918328329	0.505799951663823	0.823036924171125
ENST00000376693.3	-0.432976680163096	-0.368029382676061	0.0596252359027849	0.916982866891252	1.82218626037834	1.88713376279063	0.0649936056286551	0.860623786942919	0.0596252359027849	0.916982866891252	0.9852039908044
ENST00000267436.9	0.559427755547445	0.358083870781698	-0.204001926231885	0.438730500672288	1.23756964243201	1.0362258188915	-0.199987973297726	0.415043504025392	-0.204001926231885	0.438730500672288	0.784787787412312
ENST00000298159.11	-0.0823637984133457	0.145824046527048	0.218861616542725	0.665390065982659	0.393464357090173	0.621652101683869	0.231702361894282	0.639517578392191	0.218861616542725	0.665390065982659	0.897955113510566
ENST00000342374.5	0.150779776410026	-0.0115727533783444	-0.162877443028404	0.2162793513782	-0.117448907357761	-0.279801484503877	-0.162081602378681	0.278661959775341	-0.162081602378681	0.278661959775341	0.649219147829544
ENST00000568546.6	-0.166157947501815	-0.0835818530680629	0.0820047245843962	0.483472772404304	1.64042431882732	1.72300048735246	0.0826227521497991	0.213618586143171	0.0820047245843962	0.483472772404304	0.811981885882246
ENST00000242591.10	0.499039432767382	-0.247659072596805	-0.75032712575289	0.137985226085277	-0.0894118648049977	-0.836111054831796	-0.745982663437496	0.215340143710822	-0.745982663437496	0.215340143710822	0.578893267825796
ENST00000671730.1	0.11448852816794	0.124202918947336	0.00864475023133515	0.939968154953101	-1.59723462673609	-1.58752135175861	0.0155483541278976	0.981135187519144	0.0155483541278976	0.981135187519144	0.999499173816766
ENST00000251968.4	-0.278481148212744	-0.0102007601098456	0.266585468707546	0.165580654873997	0.859723304167541	1.12800375580136	0.268544983557952	0.0919168221132341	0.266585468707546	0.165580654873997	0.511545377702521
ENST00000315891.10	-0.11023515470993	-0.516936206289096	-0.411950164671	0.367289331768298	2.10170072019228	1.69499990815074	-0.407313454395531	0.308150292002595	-0.411950164671	0.367289331768298	0.73027712987911
ENST00000592741.5	-0.275587233569515	-0.455286167173085	-0.179972630327597	0.021002958478888	0.984820695830194	0.805121783967195	-0.179767566854848	0.00480242953870086	-0.179972630327597	0.021002958478888	0.146291346163881
ENST00000281405.9	0.720387153567997	0.365833600966205	-0.357719949308731	0.0935456625027975	0.189046693470027	-0.16550687139645	-0.353637738323673	0.117792023776784	-0.353637738323673	0.117792023776784	0.421893323256066
ENST00000604567.5	-0.555798225948273	-0.564751094417608	-0.0102696761467165	0.935013337856345	-1.14844126736959	-1.15739416471629	-0.00898596670924157	0.949632741160585	-0.00898596670924157	0.949632741160585	0.992422084834731
ENST00000338560.12	-0.0576195739849423	0.223140656366427	0.279830795687902	0.0614171022559242	1.43154306627808	1.71230337683047	0.280850152169747	0.00580932262937349	0.279830795687902	0.0614171022559242	0.29382006825703
ENST00000526683.6	-0.428675982776168	-0.456107861093597	-0.027918258426493	0.753008301061613	1.28268056778033	1.25524874715029	-0.0274972225043633	0.613328029435894	-0.027918258426493	0.753008301061613	0.925026849271194
ENST00000366528.3	-0.18745144342002	-0.536445326604552	-0.350625045633656	0.0200438893260418	1.20609696352545	0.85710318201032	-0.349157125965018	0.00113658616866674	-0.350625045633656	0.0200438893260418	0.141408723031594
ENST00000437807.6	-0.606397406215462	-0.531570117527631	0.0702580232139054	0.835408459452953	1.14873456083064	1.22356198959745	0.0744650995411826	0.761016793451538	0.0702580232139054	0.835408459452953	0.956986676291374
ENST00000339600.6	-0.633306558343323	-0.504006753761349	0.128940045953373	0.272924572921037	2.56994426085425	2.69924415642819	0.129353815220867	0.0194510597933513	0.128940045953373	0.272924572921037	0.642417145892531
ENST00000357043.6	1.36784457161718	1.98495568906088	0.616460136115824	1.03109479872863e-06	0.0306838907607499	0.647795008651955	0.617875477662496	3.98917681653953e-07	0.616460136115824	1.03109479872863e-06	3.7350460752608e-05
ENST00000301738.9	0.0922673161887252	0.323815312696817	0.230794241139523	0.0767085835378488	0.0301801355245144	0.261728136128218	0.231936615707754	0.0681753020105027	0.230794241139523	0.0767085835378488	0.335960642255738
ENST00000431635.6	-0.156940117864858	-0.0283029107681303	0.128277708537431	0.0787621554232386	-0.0917840949986031	0.0368531369464868	0.128624946546939	0.0194762826119087	0.128277708537431	0.0787621554232386	0.340684067647403
ENST00000448257.6	-0.294803545881715	-0.0879469348658621	0.206715505824264	0.224828086987192	3.82677512936742	4.03363192237346	0.206828631435032	3.9125132613186e-05	0.206715505824264	0.224828086987192	0.59176500854393
ENST00000262302.14	0.0526619269018506	0.0360013085289194	-0.0185518297801444	0.899616819868107	1.24024145804634	1.2235809390246	-0.0163382648368098	0.895415298626359	-0.0185518297801444	0.899616819868107	0.97897616557736
ENST00000540200.6	-0.368485173550374	-0.222278386192847	0.145312730777182	0.120904819759464	-0.931199339038214	-0.784992544533279	0.14617129983577	0.105973676127433	0.145312730777182	0.120904819759464	0.429069496335109
ENST00000246535.4	-0.0635932420999192	-0.0205504179554358	0.0419981907922731	0.762947987817109	-0.0551188303174179	-0.0120760025074515	0.0432185728399954	0.746835088659178	0.0419981907922731	0.762947987817109	0.930154171099404
ENST00000558320.5	-0.165171332803361	-0.433315339628538	-0.276820478999419	0.485797641797636	1.09987290570027	0.831729159114572	-0.268739330077164	0.453018860153072	-0.276820478999419	0.485797641797636	0.81299814228745
ENST00000645843.1	0.706125182980427	0.469468063893914	-0.240674398031649	0.342859074341959	0.50540775472203	0.268750666622435	-0.234849445671641	0.355209832543165	-0.234849445671641	0.355209832543165	0.718518989012915
ENST00000665070.1	0.355582370130799	0.491290704909556	0.134270393748826	0.449694269919826	0.907603976570943	1.0433124026221	0.136230494018176	0.284463629155185	0.134270393748826	0.449694269919826	0.792751266633864
ENST00000328666.11	0.211291376261208	-0.217741573190674	-0.431275769963049	0.030814090875467	-0.21421986232278	-0.643252859113751	-0.429019416567927	0.0490578093543402	-0.429019416567927	0.0490578093543402	0.255985000466001
ENST00000630499.2	-0.302796517031591	-10.8686707222219	-5.81512579754288	3.65022940836966e-16	-1.26308871399681	-11.8289545732341	-5.85478921221684	6.6197488223382e-14	-5.85478921221684	6.6197488223382e-14	8.33703482497035e-12
ENST00000606214.5	-0.094973117619709	-0.0953168298214353	-0.00224036152103269	0.97871456792707	1.49990999955085	1.49956637787411	0	0.999033615717148	0	0.999033615717148	0.999798949077772
ENST00000381237.6	0.383393487432531	0.0558488479919097	-0.328737815386748	0.00650813229241276	0.564555473820715	0.237010865086448	-0.327338086856798	0.00231929722159595	-0.328737815386748	0.00650813229241276	0.062657405208109
ENST00000417314.2	-0.122256246080276	0.349868093191663	0.469097250775895	0.0923023291246412	-0.519561863280899	-0.0474376440688538	0.474184695216826	0.126401751985581	0.474184695216826	0.126401751985581	0.439787142870488
ENST00000264914.10	0.563145971269851	0.365018520836493	-0.208372561757719	0.663330240254672	-0.0477072628639878	-0.245834944143527	-0.191176462589741	0.730257911863949	-0.191176462589741	0.730257911863949	0.919884942115725
ENST00000265663.12	0.572606640033124	-0.0829250383924352	-0.657146165155692	0.0219113574560276	-2.61526797158257	-3.27080004195456	-0.654388258095551	0.0868656248674581	-0.654388258095551	0.0868656248674581	0.359924094468033
ENST00000281871.11	-0.486076527409061	0.0796036674332834	0.56431296636597	0.00271500528174765	-1.5765333932493	-1.01085331282857	0.566135862070595	0.01177868059447	0.566135862070595	0.01177868059447	0.0977462171565407
ENST00000672280.1	0.0683455254724127	0.107742401697916	0.0383032465839723	0.852858899666153	2.22798250901073	2.26737953773905	0.0395221840838071	0.704765120832909	0.0383032465839723	0.852858899666153	0.962721703208348
ENST00000294742.6	-0.315097934658443	-0.224012222141504	0.0901603874080583	0.420177803476505	0.27951426099757	0.370600006625736	0.0911804565550436	0.325394864432697	0.0901603874080583	0.420177803476505	0.773838767123623
ENST00000247452.4	0.0479487783913986	0.443300392388597	0.392734804197236	0.0870987078086043	0.987505883502247	1.38285761500902	0.396080811535393	0.0194475195102498	0.392734804197236	0.0870987078086043	0.360338466109623
ENST00000397609.6	-0.149699063212313	-0.135232663066231	0.0135107897996811	0.917475323301918	0.538676755827149	0.553143195266548	0.0146169401943195	0.881702767082278	0.0135107897996811	0.917475323301918	0.985343141224562
ENST00000448666.7	-0.653100875742634	-0.828094909664482	-0.17685498921495	0.39591457753367	1.48089691433261	1.30590300466054	-0.175177235132297	0.290847411302416	-0.17685498921495	0.39591457753367	0.755016934651859
ENST00000354911.9	-0.0704229518092909	-0.346364406192217	-0.27698086014309	0.0201628566898821	-1.08260091658242	-1.35854239149057	-0.275939544253686	0.035653269270878	-0.275939544253686	0.035653269270878	0.207948604993473
ENST00000451578.6	0.535164278082792	0.926316066106696	0.384728785459383	0.367341292359516	0.258788406356397	0.649940166374027	0.397401554468042	0.353071128538206	0.384728785459383	0.367341292359516	0.73027712987911
ENST00000262640.11	1.08360670657009	-0.287206551745426	-1.37408470168416	3.91606494411841e-10	2.18923017346779	0.818417048622679	-1.37091965136158	2.05290003794244e-14	-1.37408470168416	3.91606494411841e-10	2.86587158173963e-08
ENST00000446526.8	-0.286015003940503	-0.171630009777521	0.112185228371075	0.534823536630557	0.516787380902982	0.631172430986616	0.114580410673794	0.449750234958359	0.112185228371075	0.534823536630557	0.834724394243315
ENST00000453200.6	-0.85611357715355	-0.631105737357988	0.221122457196724	0.315560202714512	-0.237491846822485	-0.0124839863355708	0.224797861805845	0.278515407289543	0.221122457196724	0.315560202714512	0.683524782619712
ENST00000673310.1	0.0787778052780124	0.211368135495868	0.129136587951628	0.67635521239028	-2.22143685384999	-2.08884695240938	0.135244157173869	0.746077460730401	0.135244157173869	0.746077460730401	0.922051350773868
ENST00000548125.5	-0.239464458696888	-0.323900850237083	-0.087928647912515	0.660605258803814	-0.601345789913172	-0.685782215613325	-0.0843282884914518	0.696916925390343	-0.0843282884914518	0.696916925390343	0.908967858188939
ENST00000344417.10	-0.787130503083256	-0.953849589608217	-0.170358639911655	0.442819653238566	-0.451058017967471	-0.617777145386676	-0.167458382613741	0.46908658277714	-0.167458382613741	0.46908658277714	0.803650233796142
ENST00000398073.7	-0.20766934968237	0.0901072604253489	0.296381581409376	0.160884363860589	-2.2804852728906	-1.98270889036846	0.29875070173066	0.284125449655021	0.29875070173066	0.284125449655021	0.654177672472642
ENST00000373548.8	-0.485494166842787	-0.364130543287186	0.120929819524622	0.132401586368032	0.55719798538476	0.678561639588714	0.121313314787402	0.0389704679307348	0.120929819524622	0.132401586368032	0.450995385115576
