	mRNA_log2FC	RPF_log2FC	log2FC_TE_v1	pvalue_v1	WT_DMSO_log2TE	EIF4E2_DMSO_log2TE	log2FC_TE_v2	pvalue_v2	log2FC_TE_final	pvalue_final	pvalue.adjust
ENST00000253047.7	0.1602176630557	0.0705199757619314	-0.0914826088341512	0.786831666853321	2.48775438852417	2.39805684613636	-0.0882141616790605	0.773107167295153	-0.0914826088341512	0.786831666853321	0.999968939918204
ENST00000270538.8	-0.119411698639708	-0.333217237601607	-0.214096405258141	0.0141138649849723	0.0387533849521515	-0.175052172701033	-0.2136536016737	0.0263464796531684	-0.2136536016737	0.0263464796531684	0.572948476564446
ENST00000395047.6	0.0951946276493342	-0.0113632824902609	-0.106674967534637	0.0851521985458389	0.689482381129681	0.582924469138333	-0.106524296807469	0.089100628593167	-0.106524296807469	0.089100628593167	0.876826953299019
ENST00000261438.10	0.0297528502120491	0.216226443394243	0.186005080859011	0.247340022032698	-1.13088028073245	-0.944406836624269	0.187648523861426	0.377748588699334	0.187648523861426	0.377748588699334	0.999968939918204
ENST00000156084.8	0.0605192878161168	0.0524795064438239	-0.00839139030824554	0.930536520369629	-0.0924856962982389	-0.100525502750571	-0.00770649803045043	0.942956659371125	-0.00770649803045043	0.942956659371125	0.999968939918204
ENST00000578681.5	-0.0579721571235176	0.103594023475908	0.161547281481149	0.0728131970274644	-1.20849651772269	-1.04693038893398	0.161907170056452	0.16186023634286	0.161907170056452	0.16186023634286	0.995649203772965
ENST00000382452.6	-0.137267704406549	-0.240160367827621	-0.103069116588266	0.0604269093445465	-0.396301713848998	-0.499194381140448	-0.102808512300525	0.076209793078122	-0.102808512300525	0.076209793078122	0.845923537910429
ENST00000638119.2	-0.495066545585614	-0.11211745552631	0.379637685215078	0.741293586631682	2.06401604842708	2.44696863073669	0.38359669334575	0.02733522334971	0.379637685215078	0.741293586631682	0.999968939918204
ENST00000357988.9	-0.463067148767142	0.713186858617346	1.16509677650864	0.265757644190591	-1.12166750824896	0.0545581730392487	1.16605913120637	0.747724694608282	1.16605913120637	0.747724694608282	0.999968939918204
ENST00000260600.9	0.128846579381772	-0.148355289238832	-0.278607229295546	0.215040865315908	-0.613519644216978	-0.890721688536157	-0.275932566068698	0.31273365411295	-0.275932566068698	0.31273365411295	0.999968939918204
ENST00000371442.4	-0.101058473863856	-0.131589690669849	-0.0312209561685515	0.822335097005817	-0.533438819516465	-0.563970104271341	-0.0301364233057959	0.854242458153814	-0.0301364233057959	0.854242458153814	0.999968939918204
ENST00000620995.5	-0.264382170755623	-0.297074680092718	-0.0338322307884384	0.868937389797619	0.341336140889711	0.308643548947861	-0.0323822785938699	0.886111524353808	-0.0323822785938699	0.886111524353808	0.999968939918204
ENST00000333213.11	0.153683785482893	0.393870720487908	0.239184200049835	0.155500005241836	0.259209293936355	0.499396205738042	0.241223280962657	0.167626256825231	0.241223280962657	0.167626256825231	0.998182877931571
ENST00000373279.6	1.20012453050526	1.27335718140304	0.0673729005445431	0.888869002904292	0.251741636778763	0.324973566154849	0.0896531553836066	0.865561058032081	0.0673729005445431	0.888869002904292	0.999968939918204
