	mRNA_log2FC	RPF_log2FC	log2FC_TE_v1	pvalue_v1	WT_SMG1i_log2TE	EIF4E2_SMG1i_log2TE	log2FC_TE_v2	pvalue_v2	log2FC_TE_final	pvalue_final	pvalue.adjust
ENST00000253047.7	0.0956847519739005	0.228896514233559	0.127451760450348	0.813940467427608	2.41428155611449	2.54749377707049	0.135251018075597	0.604232702992885	0.127451760450348	0.813940467427608	0.999773418228146
ENST00000270538.8	-0.151620144122892	-0.159214283289679	-0.0081689152064377	0.926501495997018	-0.0448132075268809	-0.0524073241394694	-0.00742884111557807	0.931431473388404	-0.00742884111557807	0.931431473388404	0.999773418228146
ENST00000395047.6	0.139914889387285	0.00605258140975716	-0.134030060948938	0.0992306666223062	0.787590223864687	0.653727933901344	-0.133694151971371	0.0572414525396773	-0.134030060948938	0.0992306666223062	0.697243340570613
ENST00000261438.10	0.18685558714411	0.229453944523501	0.0416429273737451	0.805729643199711	-0.951834410534798	-0.909236159437684	0.0435877430341773	0.830910773716304	0.0435877430341773	0.830910773716304	0.999773418228146
ENST00000156084.8	-0.0635388833569293	-0.105408513651418	-0.0428025682675974	0.682963597567384	0.00719887429430293	-0.0346707277285991	-0.0416583057118384	0.656948272934076	-0.0428025682675974	0.682963597567384	0.999773418228146
ENST00000578681.5	-0.187216197746101	-0.102736657325421	0.0838677263213524	0.322573116015548	-1.9262275302134	-1.84174799688022	0.0846383328866156	0.348861089814421	0.0846383328866156	0.348861089814421	0.947156908930863
ENST00000382452.6	-0.21284137574204	-0.213754857910285	-0.00126076551406928	0.978624359711779	-0.398800241123078	-0.399713703481175	-0.000840723496000284	0.98703296967751	-0.000840723496000284	0.98703296967751	0.999975767786624
ENST00000638119.2	-0.755310582834263	-0.185543061972724	0.566596198738053	0.107411936783967	2.05454507884296	2.62431302396634	0.570064284526818	0.000644172076333056	0.566596198738053	0.107411936783967	0.704982377502725
ENST00000357988.9	-0.436848461877785	-0.804852939219926	-0.368955502851226	0.212909784314531	0.332731851372362	-0.0352729932166092	-0.36841385987695	0.288642924350251	-0.36841385987695	0.288642924350251	0.919028832089376
ENST00000651723.1	-1.01136517282565	0.143216839808461	1.1472155343485	0.114697944091351	0.633794221109943	1.78837622125137	1.16439853026112	0.0657080500890093	1.1472155343485	0.114697944091351	0.719087415048215
ENST00000260600.9	-0.0415981685821637	-0.146849841010104	-0.108410622838415	0.6384628842796	-0.812426928704683	-0.917678747229244	-0.104047059711626	0.707518246391099	-0.104047059711626	0.707518246391099	0.999773418228146
ENST00000371442.4	-0.193432128264342	-0.0786951063264524	0.11283434183839	0.491683228184019	-0.531776747485912	-0.417039761640769	0.115224158019466	0.509027029577055	0.115224158019466	0.509027029577055	0.976548521752996
ENST00000620995.5	-0.378806053609079	-0.278488196629454	0.0988083676181177	0.561886688384434	0.0258095998439537	0.126127435919981	0.100638263997161	0.559202997671639	0.0988083676181177	0.561886688384434	0.982373386356304
