UniqueCount	AmbigCount
4	0
0	523
3	358
0	0
16	928
1	111
19	0
78	348
0	240
3	8
48	1174
31	137
6	1417
7395	1
2	1142
3147	344
0	17
4	91
61	0
748	1330
3149	1722
2439	0
1353	1655
0	667
2	94
168	1402
1	963
1	0
255	0
9	210
139	94
88	114
158	587
13	515
133	956
222	0
1	0
44	0
84	1
3	16
0	210
1	305
0	0
151	664
2061	1
11	1651
604	1417
8	60
823	1
553	144
976	319
0	0
53	0
6	815
4	269
753	82
2051	0
0	13
702	691
3	0
1066	2
0	0
947	1
1069	2
4	186
22	31
0	0
100	241
727	0
72	100
366	135
10	20
1523	1390
10749	9
192	281
292	0
931	55
4	210
48	1181
350	1449
27	823
0	67
2	63
26	1624
169	82
0	130
2	0
7368	9
38	1715
388	178
2	0
355	0
0	57
3	1096
663	66
201	0
156	0
88	3495
141	0
0	0
418	30
0	1
22	111
24	814
7	14564
2792	3
303	0
3	183
2	351
5	4045
26	12
0	0
97	320
14	415
44	53
47	49
925	78
65	138
2	46
4150	2
5	23
73	0
21	3071
93	48
293	389
0	102
8	0
0	152
4	0
2	2327
1	55
4	488
0	0
1	162
0	14
84	2332
13	0
7	248
562	48
567	206
76	154
20702	13
2	691
114	0
1	716
27	293
1	42
0	8
0	956
73	1714
1	25
3126	865
1	111
3015	1
10	660
234	0
20	207
279	350
20040	278
54	239
0	239
1674	140
0	0
1	8
609	0
22	2789
7	0
954	1637
0	0
7	39
3	619
1	538
0	0
0	17
4	385
2832	2
3	269
32	23
0	2
1	201
108	897
0	5
388	55
4129	567
2974	2
127	679
1045	1581
1282	768
27	2104
32	340
42	4658
600	501
0	0
1	174
50	55
0	67
16	33
40	23
0	0
66	2
4851	2
199	2740
1761	347
401	0
1	0
760	1
2	83
93	512
2326	1
7922	1182
152	539
1	0
1069	479
4	106
767	0
38	88
0	0
708	1
1167	1
505	0
110	0
612	57
4	9
3	166
805	182
3	404
39	4241
14	10
23991	24
0	135
28	0
1113	82
4	68
26	178
3	54
16	11
7	17
0	17
939	1158
2	58
6866	11
4028	0
1373	1
26	174
137	22
856	1
0	925
20	1499
9	8187
0	175
306	5529
2029	2
213	512
1488	1557
6	64
2	4859
0	117
7830	5
3394	2
1003	269
5	0
928	1
2	3
2	543
0	0
0	367
59	953
2460	1234
330	144
619	3071
107	304
322	200
26	143
6	0
1285	2
1647	3
3584	67
4	329
11	637
165	704
217	395
117	1467
11608	11
5	0
2	186
0	0
21	467
396	1
9	112
1	42
60	895
0	0
272	0
0	57
1	48
13	136
11	796
14	3130
124	1
1982	688
2769	1
1	0
1	129
38	1221
451	47
8	0
364	0
2	362
0	120
12	408
5	942
15	3459
14	1122
3	3
100	1875
1	89
1	1
22637	20
2	134
1250	24
205	20
2	1
0	0
1193	0
0	528
1	699
5	3
308	328
316	34
199	0
131	374
82	68
1	840
4	0
10	265
143	352
9	1647
843	1536
128	182
2911	0
263	1
16	977
18	954
35	1421
210	51
12	66
80	0
390	108
0	10
219	225
1367	1177
0	0
100	213
2	73
0	17
384	335
6079	3
8	18
1	745
785	2127
3206	4
15	13
5	1725
201	421
166	14
0	29
905	0
17	3
244	311
119	3987
3	189
1918	968
8	507
37	288
178	0
78	150
22	265
1	57
18	438
0	0
620	2
0	242
439	0
3	24
52	19
1414	477
0	0
7	1
1051	118
4	1655
3	5
36	19
0	849
4	173
5	28
10260	8
241	128
1184	1417
0	234
120	132
1658	11057
0	409
6	239
57	90
186	0
0	422
2	87
2074	266
12	177
65	1357
9	72
11	13
2573	26611
897	1
0	3044
193	0
146	3438
302	354
9	1897
0	0
2	76
4	0
2	348
17	1695
0	0
0	197
13	164
2398	1
36	212
7	219
0	100
0	65
3181	2573
549	33
4	110
5	5
1095	19
42	0
22	1040
313	95
58	2979
190	140
123	755
12	997
2621	515
4153	6
225	587
2	9
2	189
18	580
0	0
26	0
531	832
1	0
329	1
15	72
466	183
340	67
1	966
4	272
2199	0
1728	303
178	625
93	1614
1255	1
37	316
15	270
23	94
0	0
0	0
0	0
1557	4
1679	13037
1452	0
5	1593
1	0
1	185
1	1265
7	1402
210	6
1605	2
1136	0
1	501
441	0
0	0
6	415
47	1861
71	533
290	0
30	109
72	563
9	1016
3	119
591	1
0	65
41	0
20	3675
0	22
2	412
129	344
30	1769
78	576
8	0
61	132
1	0
0	208
0	171
29	157
26	207
3	0
371	2941
427	3740
215	0
2	22
25	303
120	1823
9	530
14	0
0	0
4366	48
97	1783
145	19
48907	32
5	132
17	43
115	260
1646	96
433	895
699	0
0	71
32	69
182	633
3	9
77	456
14	64
257	1
103	9
123	455
47	470
42	532
1	1025
2364	1
1701	1
126	974
1052	2
0	1
91	709
0	0
779	0
1	9
0	0
30	5057
770	207
15	0
12	162
9	333
0	305
660	0
1118	1
76	107
12	468
0	39
6	61
116	78
22	0
3	331
0	243
0	0
1	421
1	27
283	55
63	149
1	101
752	0
16	96
7	0
13	0
44	7
0	0
2	43
6	992
758	0
1	19
2636	1
3227	0
59	0
8	281
3	13
0	152
80	4251
1297	1
1299	0
1	189
403	195
0	0
18	159
91	489
5	1346
1	13
8	290
13	2410
5	1098
1	177
1557	909
0	0
341	694
0	0
1980	3
16	288
467	960
251	3784
17	61
4	1042
2362	45
77	98
1089	1
14	0
135	0
645	1
4	171
1	4065
0	0
15	13070
24	61
27	1
0	8
0	313
2100	6
1	0
18	1285
408	115
35	1189
92	208
6	76
4	0
3	197
49	0
5	1264
0	0
0	295
385	211
545	140
5510	8
1789	188
65	0
129	395
0	379
1	0
6	356
8	1122
10	230
1567	2
643	452
3460	32332
4	1332
0	0
1	927
16	0
312	94
3826	182
333	13469
13	220
5231	4
94	33750
197	752
1795	2
0	27
14	1100
5	151
7768	8
6027	4
113	562
20	155
27	91
1173	613
3	28
15925	10348
9	0
389	534
3	337
1001	36
515	470
0	1733
1	41
54	62
5	383
2	38
63	1242
1	12
5	210
3146	4
0	7
9449	672
7	0
1	30
536	0
515	67
1390	472
166	1215
56	1230
194	0
6	2
63	0
275	802
0	1975
0	66
0	0
31	115
8	29
0	0
0	0
27	250
1	19
0	18
87	85
56	0
139	716
1	73
27	0
0	28
1214	136
1681	4
610	0
29	1474
4878	1
2168	0
0	0
11	558
72	1359
9	0
38	681
808	621
176	0
987	2
0	23
982	1
8	1479
160	823
107	488
194	58
0	0
242	134
838	31
1	1404
107	9
1	2
1	392
65	789
28	965
0	27
1118	67
70	0
579	0
11	98
744	1081
12	232
76	206
48	4111
433	3
1044	3186
3	359
658	1047
197	0
14	564
77	56
3	691
516	0
7	102
18	112
2161	1
5	181
128	1
831	1
565	1
25	223
134	253
20	291
0	524
0	0
578	816
0	0
43	353
3217	218
0	9
1	98
39	269
1	0
6	123
72	805
1	548
182	818
0	3
25	609
10	600
12	5484
50	1343
1	498
178	0
39	31
457	1
0	331
338	0
687	1
223	785
263	1398
3	21
787	4
477	1
7585	5
385	439
0	41
199	0
609	153
0	0
17	210
688	0
3	467
0	4
13	0
45	1014
2302	1
1	84
5	309
13	0
1	141
1970	656
1890	0
1808	0
5	48
3	8
59	124
455	288
22	443
1043	0
2	73
1	0
1285	1421
1	66
4987	2
1445	1273
47	48
1	363
0	0
1481	0
0	0
37	133
690	3108
22	213
986	1
0	78
0	0
1292	3
