UniqueCount	AmbigCount
11	0
0	359
3	259
0	0
16	795
2	87
57	0
121	277
0	410
8	27
31	855
24	79
5	751
5084	13
1	676
2705	359
0	5
6	102
55	0
603	1184
2976	1753
3193	10
677	1152
1	643
3	119
221	945
0	787
0	1
234	0
2	229
165	90
53	95
195	429
22	503
114	954
269	2
0	0
2	0
86	0
3	18
0	179
2	205
0	0
103	435
2297	3
12	1231
343	752
6	67
482	4
697	132
731	304
0	0
49	0
4	421
9	346
654	80
1135	5
0	17
512	597
1	0
769	3
0	0
758	2
804	3
10	127
27	36
0	0
68	148
653	0
68	135
252	86
4	21
1914	2075
6130	20
220	405
409	1
1286	60
5	216
34	833
264	1081
14	537
0	37
3	87
29	678
156	75
1	140
1	0
5903	21
34	2059
612	276
2	0
395	1
0	96
2	624
550	52
110	0
155	0
85	3648
183	0
0	0
244	23
0	0
10	116
21	794
42	6458
2825	12
496	1
5	124
3	302
10	4369
18	12
0	0
207	751
25	638
49	55
20	18
492	88
94	194
1	40
2980	8
6	26
131	3
23	1605
85	28
195	291
0	102
9	0
0	134
4	0
3	1883
3	58
7	367
0	0
6	183
2	19
46	1954
5	3
2	190
496	76
107	98
60	146
26784	68
0	607
103	0
9	886
18	420
2	61
1	29
1	954
48	1624
6	30
2106	626
3	122
4301	12
13	494
126	0
33	238
961	479
13914	256
75	380
0	235
1401	125
0	0
0	8
713	0
19	2580
2	0
922	1601
0	0
8	68
8	529
1	561
0	0
0	5
9	305
2803	10
0	240
60	79
0	1
2	268
122	755
0	2
353	45
3556	507
2006	11
93	480
796	1154
1121	659
104	1961
59	461
15	2588
658	573
0	0
5	452
57	58
0	66
13	31
24	11
0	0
52	3
5142	17
118	1741
1469	393
659	1
0	0
584	2
1	148
83	510
2170	9
14946	2096
213	684
1	0
872	402
7	117
869	5
33	71
0	0
655	0
1215	5
239	0
251	2
686	64
4	9
6	226
1270	394
3	312
32	3409
15	14
24157	67
0	71
19	0
764	53
2	66
55	229
2	33
21	25
4	16
3	10
1390	1486
6	64
6552	25
4095	13
1398	4
20	161
112	13
760	5
0	856
27	1766
5	6102
0	114
275	4294
1603	7
166	565
1256	1569
5	56
0	4264
1	77
7843	28
2737	6
766	218
4	0
511	1
0	10
5	354
1	0
1	299
40	797
1947	922
519	184
341	1607
118	335
206	135
41	130
1	0
1014	1
1562	3
2047	61
7	268
5	333
134	510
169	305
109	1110
7678	22
3	0
4	342
0	0
9	318
461	4
6	92
1	42
60	707
0	0
200	0
3	215
5	34
14	115
7	616
13	2054
115	1
2380	860
2123	8
0	0
0	116
50	757
884	63
5	0
407	2
7	361
1	187
17	353
2	657
21	2460
3	888
1	10
28	1075
3	87
1	2
8511	30
1	91
1056	13
165	22
3	0
0	0
722	1
2	404
1	568
7	1
276	299
256	41
233	1
107	566
107	100
0	660
1	0
17	367
156	296
14	1800
626	1283
147	227
2666	6
259	0
26	919
7	828
45	672
300	45
11	66
71	0
419	103
0	8
243	209
1142	889
0	0
79	196
2	56
0	10
714	663
3886	13
3	30
4	844
521	1301
3879	10
49	68
1	1177
166	331
127	13
0	26
749	2
23	0
219	249
116	3116
0	105
1702	807
20	425
16	281
196	0
102	196
27	243
2	117
20	370
5	0
613	3
2	174
332	0
4	23
35	32
1278	386
0	0
20	1
1403	118
3	1107
6	3
20	31
0	554
1	197
4	19
9257	28
383	290
1180	1323
1	231
119	174
888	6806
0	277
4	166
35	88
169	0
7	257
10	64
1823	283
39	388
64	1071
10	69
11	19
2563	18095
1024	1
4	1969
203	0
155	2759
356	328
5	1267
0	0
4	70
2	0
0	301
25	2024
0	0
1	189
8	104
1474	8
37	234
5	146
0	118
2	155
2104	1483
503	30
9	134
2	6
902	64
108	2
20	751
381	120
45	2336
142	127
35	471
15	840
2576	507
2912	10
134	296
0	9
0	134
38	931
0	0
42	0
570	823
0	0
431	2
18	64
537	218
217	63
1	855
7	318
1957	4
1082	217
181	805
94	1478
1247	3
35	338
18	400
37	98
0	0
0	1
0	0
1500	4
1287	11282
1211	3
3	1688
1	0
4	172
1	1137
11	945
326	16
2043	8
1064	4
1	568
433	1
0	0
9	244
42	1574
95	698
176	2
17	108
82	846
20	1228
10	121
667	0
1	50
19	0
22	4272
1	14
1	268
141	394
33	1419
56	519
6	0
48	104
0	0
0	230
2	144
29	119
16	124
6	2
249	1869
230	1991
134	0
3	19
24	222
117	1935
12	257
19	1
0	0
5572	166
151	2373
273	26
42844	136
4	94
24	32
258	528
1131	120
359	612
742	1
2	89
22	75
142	514
1	7
59	479
1	56
229	2
125	1
194	679
47	494
55	659
1	998
1875	5
1300	1
102	781
504	2
0	8
106	909
0	0
249	1
5	27
0	0
105	3103
597	135
41	0
17	183
4	322
0	284
1015	0
905	2
46	90
17	388
0	31
7	64
139	141
48	0
8	333
1	254
0	0
6	664
3	22
213	42
50	160
1	126
743	4
26	94
48	0
28	0
53	4
0	1
3	58
6	981
985	3
1	39
1410	4
2020	15
34	0
10	359
5	3
0	128
164	5284
1320	3
1221	2
3	215
382	290
0	0
22	108
87	560
15	1428
1	32
11	588
13	2431
8	1796
0	225
1037	792
0	0
291	683
0	0
1704	6
20	423
187	371
240	2340
26	87
10	1139
2354	57
116	193
1005	4
25	0
63	0
736	3
3	119
1	3057
0	0
11	8643
27	42
36	0
1	8
1	175
2062	9
0	0
19	1298
432	89
23	951
106	343
9	113
5	0
3	168
62	0
6	639
0	0
0	307
259	124
631	175
7941	32
2107	303
107	0
161	523
1	291
1	0
4	335
1	866
8	147
1554	6
383	334
3666	32866
4	1208
0	0
2	406
14	0
206	60
3285	150
444	13827
12	118
3613	14
45	21949
170	787
1161	3
0	30
20	987
5	101
8048	24
5709	14
138	756
13	84
26	65
1566	816
1	5
13973	9451
3	0
391	677
3	157
1239	19
432	388
1	1994
0	29
87	62
6	421
0	37
88	1261
2	5
3	178
2359	10
0	5
8989	625
3	0
0	63
636	1
381	79
1292	366
162	1241
47	1209
165	1
20	4
107	0
274	737
1	1401
0	114
0	0
41	109
14	23
0	0
1	0
39	260
0	15
0	16
56	155
100	1
241	1277
1	100
7	0
0	12
794	95
1175	5
529	1
16	1381
3780	15
2169	7
0	0
16	320
70	1217
16	0
33	388
736	503
153	1
1065	6
0	11
924	3
17	1168
174	840
251	997
153	155
0	0
207	138
952	43
0	1039
136	31
1	9
0	313
94	760
95	1100
0	65
831	46
55	0
668	2
11	185
620	862
7	268
48	97
62	3586
418	3
954	2487
1	200
645	890
182	0
9	720
83	55
4	596
555	0
4	96
2	121
4071	8
4	257
155	0
608	3
374	0
16	259
129	213
28	196
1	443
0	0
562	746
4	0
45	352
3858	251
0	11
1	84
42	221
1	0
8	131
51	569
4	842
159	659
1	13
14	728
2	434
8	3843
30	951
5	465
231	0
33	35
471	1
0	303
147	0
869	4
152	651
214	1168
1	30
704	20
683	0
4573	22
357	444
1	74
274	2
608	140
1	0
11	194
456	1
5	814
0	2
2	0
67	667
727	1
1	104
2	182
4	0
1	169
1977	704
2209	3
1872	6
2	43
2	11
51	129
271	158
34	484
1423	2
0	48
0	1
942	1009
9	54
2897	7
970	1446
47	60
2	192
0	0
1323	8
0	0
49	111
792	3777
22	196
1091	2
1	230
0	0
1184	3
34	1240
0	0
59	1
0	14
26	924
208	1108
7	20
0	0
0	34
2	0
1	2
1	98
0	0
1	18
1	100
23	452
1250	465
40	46
79	181
40	682
1	56
2	71
252	2
1	373
4	362
991	3
1	72
73	1
563	1325
1	2
290	330
0	0
2	143
1014	2
31	413
271	9
100	565
33	176
9	522
0	459
331	1
6	214
880	1
6	73
31	22
0	0
56	0
259	3133
0	0
289	92
31	13
925	0
135	919
545	436
2	10
75	5386
148	292
2	253
17	1
2	346
92	360
959	1232
11	363
13	2203
1	101
28	109
6	558
3	2
774	38
1545	179
3	3550
1114	3
683	7
0	347
2	534
67	114
18	6
15	301
181	20
0	208
0	23
2214	7
2234	9
33	123
0	86
0	1
1836	8
16	4
93	0
0	437
4	303
8	833
269	0
864	3
9	213
