UniqueCount	AmbigCount
0	0
0	370
5	216
0	0
16	772
0	41
14	0
67	255
0	347
2	21
35	696
23	129
1	913
9657	24
2	935
2839	430
0	8
2	29
22	0
363	708
2442	1245
3717	11
856	1198
0	679
3	151
132	1264
0	958
0	0
434	2
3	156
61	59
15	66
124	350
11	597
37	375
289	0
0	0
2	0
38	0
1	11
0	137
0	248
0	0
67	288
1559	3
1	1018
389	913
8	76
637	3
1060	173
1412	552
0	0
71	0
2	469
3	390
321	45
4086	11
0	44
891	862
0	0
965	2
0	0
859	2
724	1
6	126
27	17
0	0
114	245
559	2
51	82
320	92
9	27
3152	2277
8847	19
162	410
258	0
1125	45
0	379
26	1055
544	1903
10	640
0	65
0	19
33	946
99	40
0	143
2	0
6168	16
28	2314
360	182
0	0
287	0
0	76
1	1171
1310	166
76	1
168	1
59	1898
350	2
0	1
628	62
0	0
9	75
17	533
4	7373
3085	6
228	1
6	115
2	231
13	2818
13	17
0	0
231	854
16	400
27	30
19	18
682	70
75	165
2	24
2987	11
6	15
110	0
11	3262
129	50
215	242
0	56
5	0
0	93
6	0
0	1694
0	40
8	421
0	0
3	101
0	19
80	2512
46	9
4	210
267	28
149	111
93	158
26045	65
3	759
19	0
8	1117
3	219
0	27
3	15
0	375
114	1434
1	20
2938	916
1	238
6657	23
0	365
97	0
19	240
468	479
32148	609
91	387
0	521
1180	82
0	0
0	2
868	2
33	3707
3	0
1398	2243
0	2
26	87
0	490
3	541
0	1
0	8
3	524
3821	8
1	129
9	39
0	10
0	363
91	1002
0	0
367	49
5216	617
2553	5
128	660
878	1249
1181	567
16	1549
54	476
24	6225
882	729
0	0
6	431
51	63
0	34
8	29
49	16
0	0
40	2
7403	21
103	1325
992	283
625	1
0	0
1145	4
1	62
50	527
2336	1
22919	3209
179	655
6	0
1261	552
7	87
820	1
14	40
0	0
454	0
820	2
893	4
153	0
426	61
6	12
9	356
1517	329
1	585
5	4307
7	2
25801	73
0	112
6	0
728	61
