UniqueCount	AmbigCount
6	0
1	130
10	191
0	0
11	869
1	78
22	0
65	127
1	923
13	57
62	1732
10	49
8	1374
5076	5
1	457
1459	445
0	0
2	59
498	0
1943	3535
2381	1366
2408	6
391	765
0	505
2	169
151	893
3	1408
624	114
749	4
10	294
158	133
38	110
79	269
19	764
93	854
331	1
16	92
17	0
119	0
54	126
0	207
1	656
8	0
114	412
159	0
2	792
536	1374
12	111
333	1
393	152
6144	2433
2	0
95	0
2	132
33	930
1160	174
7658	11
0	15
803	991
3	0
889	1
31	329
608	2
343	0
5	54
218	231
102	0
443	1305
750	0
19	59
235	114
29	47
50	80
2062	2
420	898
174	0
409	32
10	505
49	872
103	814
23	774
1	129
0	26
11	467
108	79
0	192
78	0
5473	10
13	1539
171	78
72	0
794	3
0	332
8	760
532	60
9	0
143	0
47	1393
139	0
16	123
261	34
0	328
17	135
18	554
2	937
3676	6
1141	1
11	173
1	1263
5	607
8	10
1	182
515	1697
11	504
5	10
3	3
255	54
114	415
2	32
1716	2
8	35
133	0
13	558
176	96
224	435
0	159
9	0
0	237
41	0
0	1468
1	32
5	364
45	0
1	337
2	20
122	3427
178	50
9	473
322	53
87	76
115	237
2072	0
2	1727
300	0
12	1167
23	135
3	141
5	291
3	854
24	1116
2	37
35	27
7	273
1392	3
5	467
25	0
43	686
412	413
17447	232
215	943
0	324
947	117
1465	0
11	398
1057	0
5	1505
68	0
1094	2359
33	13
43	215
4	686
14	1934
26	158
0	0
4	267
680	0
1	245
46	82
14	120
4	463
65	614
1	55
286	62
3877	617
3310	6
116	764
325	552
257	198
42	985
1	7
122	8033
618	683
7	909
1	334
161	203
0	98
5	11
853	383
55	0
49	4
1692	7
6	135
1159	1372
657	0
2	0
605	1
2	163
5	224
1024	1
2606	350
310	971
20	0
1021	571
4	181
462	0
27	47
0	0
183	0
1247	1
27	0
444	2
442	64
13	13
13	305
568	285
1	705
13	1873
3	2
12124	23
0	28
40	0
913	84
3	57
52	393
60	1295
765	563
15	40
8	119
2038	3131
3	62
16877	75
2488	2
2329	4
10	159
1127	149
598	0
1	695
87	2141
4	4219
0	167
269	6204
1233	1
296	1115
481	628
40	310
0	1274
1	134
8852	14
2826	2
775	274
32	0
432	0
0	5
7	709
1005	1
35	4175
13	474
1618	888
86	43
133	558
65	247
267	168
3	112
23	0
714	1
1166	2
1062	62
1	190
7	716
78	236
170	341
19	241
6245	5
32	0
4	699
8	107
18	397
220	0
11	164
2	77
46	714
18	15
0	0
2	273
6	35
24	249
19	749
3	333
369	0
616	287
1168	1
13	3
0	133
39	709
1942	185
2	0
440	1
7	455
4	481
18	522
4	663
20	2798
3	666
1	10
29	1193
2	108
691	390
22	0
1	52
1109	9
274	57
3	1
0	2
74	0
1	188
3	971
12	5
138	169
144	23
19	0
183	887
530	845
0	498
5	0
3	51
67	219
5	859
850	1745
6	12
598	0
34	0
10	965
25	1136
15	243
141	34
3	78
64	0
652	223
0	125
151	191
1643	1939
50	0
74	236
25	140
11	228
1081	1113
3222	3
12	47
11	715
325	1216
1649	4
191	274
4	725
133	297
13	0
0	16
1007	2
229	33
0	4
17	1052
5	410
1812	1215
26	593
16	153
10	0
103	272
12	512
7	418
3	69
16	0
711	2
1	329
10	0
4	9
8	46
534	188
0	131
12	1
147	28
6	1272
130	55
15	25
0	772
1	159
7	15
730	0
213	92
2286	3043
0	258
213	252
1590	15204
0	431
2	56
54	223
51	0
2	102
2	63
949	223
23	482
6	392
2	92
16	38
5287	39336
656	1
7	4597
11	0
7	151
903	1026
12	236
0	11
4	527
1	0
112	1254
12	343
108	18
2	465
9	72
2279	2
138	571
10	246
0	104
3	280
1039	806
371	34
10	259
2	4
1286	77
132	2
9	443
1613	542
62	1973
111	90
21	188
13	331
3258	766
4206	6
255	703
0	70
0	74
45	737
1	0
23	0
583	1298
20	48
672	4
9	78
835	698
272	106
1	541
5	309
1608	2
142	84
157	768
135	2568
1401	1
11	78
12	397
18	82
4	17
0	0
44	0
527	1
545	6052
1355	3
4	785
7	0
12	361
0	318
25	893
605	44
1642	3
1274	3
1	431
198	0
82	1364
3	123
48	1160
123	1454
116	1
39	496
95	702
6	1857
4	11
647	1
3	40
1	0
20	1694
1	81
1	438
43	94
58	1599
26	597
169	0
76	240
1	1
1	514
0	126
1	44
42	333
5	0
73	653
149	2250
191	0
68	553
18	225
326	3274
10	467
9	1
610	2
3906	107
245	2860
636	82
56303	81
6	97
41	73
86	182
888	172
181	578
1046	1
2	147
45	28
136	388
3	10
1	305
13	309
290	0
0	2
224	566
32	554
17	216
0	444
1649	2
1590	3
105	710
1	0
0	0
60	511
710	1
0	0
8	63
0	0
1	308
647	165
84	0
15	437
1	161
0	349
1678	1
459	0
27	118
6	318
0	110
4	39
75	80
57	0
22	1062
2	240
0	0
4	527
1	15
304	56
98	167
1	531
1496	4
78	140
22	0
21	0
9	4
0	1
1	68
0	4
4181	1
0	41
1085	2
2283	1
286	0
12	302
20	23
0	256
94	5696
1101	2
414	0
8	642
433	660
4	3
15	152
29	86
2	1401
0	18
3	193
13	1615
7	2210
2	361
1066	804
132	0
64	532
330	0
862	1
44	1559
62	159
54	1308
86	210
6	612
536	20
178	235
254	1
24	0
61	0
1487	0
0	42
7	2067
182	282
3	8100
3	4
35	1
0	24
7	6399
689	0
39	0
23	1543
250	114
7	539
65	160
2	43
68	0
9	110
66	0
3	310
1780	4
2	705
525	309
798	293
23284	27
1348	233
21	0
313	1202
0	269
10	0
28	1095
5	1137
0	1
1974	2
188	179
4239	41679
9	3244
19	0
0	243
10	0
138	51
2239	105
184	9161
26	278
1337	0
26	3016
175	673
1150	1
28	57
17	1479
1	75
1902	3
1737	5
1	38
23	154
8	132
