UniqueCount	AmbigCount
9	0
0	225
5	337
0	0
34	1474
2	116
34	0
106	256
2	726
19	85
80	2066
21	50
6	1554
8184	6
3	765
2191	331
0	2
3	87
221	0
1853	3271
3022	1904
4318	5
533	975
0	851
2	256
170	749
7	2361
901	197
658	0
6	475
267	200
40	195
104	461
20	1218
98	918
708	0
13	202
15	0
212	0
128	184
0	395
7	1027
5	0
185	745
163	0
5	978
559	1555
23	206
518	0
910	212
8555	3503
3	0
107	0
0	109
32	1480
1624	224
6122	3
0	5
1032	1298
5	0
1335	0
46	474
1139	3
335	1
2	119
278	375
217	0
857	1785
1411	0
28	46
309	209
26	110
133	115
3021	8
385	728
475	0
621	34
10	679
37	1077
218	1054
22	892
3	217
0	40
6	386
202	122
1	308
55	0
4336	3
45	3333
575	327
33	0
643	0
1	509
0	393
682	90
11	0
243	1
11	915
313	0
15	82
149	8
0	232
20	179
5	492
3	684
5763	10
1328	0
4	130
1	1377
2	420
10	5
0	260
1048	4436
6	456
10	26
7	6
273	47
335	895
5	38
2626	1
14	59
471	0
2	574
212	144
376	625
0	316
12	0
0	290
30	0
0	2026
1	33
9	278
40	0
5	271
3	39
225	6858
105	49
13	588
377	33
46	33
269	443
3413	2
6	3091
477	0
15	1936
14	156
6	156
9	323
2	918
34	2120
8	28
68	24
4	488
2041	1
10	695
21	0
59	831
318	419
30152	573
442	1842
0	390
1991	233
2084	0
15	714
2939	2
8	1380
58	0
1684	3068
44	31
68	364
3	1047
9	3159
45	160
0	2
9	606
826	1
0	447
35	88
10	113
4	771
118	1187
3	98
381	42
4750	634
6156	9
159	937
452	776
551	333
17	812
0	5
76	6006
548	635
13	1483
10	748
171	219
1	90
7	18
1220	489
126	0
85	4
4129	2
19	178
1969	2085
1062	1
1	0
1061	0
2	125
10	266
1753	0
4870	792
747	2488
4	0
1717	983
7	198
1292	1
21	41
0	0
196	0
1393	0
18	0
672	0
815	90
8	19
40	653
1270	462
3	634
9	2660
9	7
26395	21
0	17
33	0
1169	134
1	28
68	464
49	1204
1261	872
29	77
11	110
4281	5001
6	62
34322	143
2898	1
3151	5
9	253
1227	154
647	2
0	1054
107	3763
3	5506
0	260
271	7692
1630	1
549	1706
1012	1468
54	393
1	2417
4	263
6528	6
4634	3
624	222
19	0
366	0
2	7
2	776
1991	1
105	8973
40	594
3558	2035
58	33
149	574
40	158
326	218
12	110
29	0
1187	1
1611	0
1736	37
3	308
11	493
51	320
163	349
27	413
7411	5
27	0
16	1582
4	93
14	318
190	0
36	537
3	105
49	1016
37	13
1	0
5	446
9	80
23	217
14	836
3	408
446	0
843	379
1267	1
29	3
2	242
105	1135
2371	219
2	0
1150	1
12	911
3	747
22	1041
12	1114
18	3094
4	1163
2	8
26	1160
1	132
1823	938
29	0
1	52
1469	16
444	57
4	1
0	3
93	1
2	259
1	1705
4	7
219	181
127	13
32	0
195	1050
1215	1824
3	366
5	0
9	184
151	276
5	990
1050	2452
10	22
840	1
32	0
14	1259
29	1435
11	199
109	23
12	153
46	0
1248	390
0	181
124	145
2398	2001
61	1
82	359
32	145
13	208
2133	2523
4864	2
10	29
17	1437
419	1372
2115	1
402	547
3	717
288	620
32	4
2	31
1177	0
353	39
2	4
30	1685
11	490
2088	1214
14	568
14	189
15	0
213	608
17	554
6	710
4	87
21	0
1407	1
7	321
11	0
1	24
5	26
966	340
0	147
18	0
215	25
12	2051
130	87
21	21
1	1538
2	337
1	33
1009	0
256	109
5000	5815
2	465
245	278
1817	18832
0	508
0	79
93	247
42	0
0	208
5	50
1107	191
58	1047
5	485
4	123
27	44
4080	30373
1315	1
15	6452
9	0
11	157
1123	1259
14	329
0	21
5	476
1	0
133	1369
15	770
202	35
0	849
13	89
3771	5
148	857
11	353
0	141
5	607
573	628
308	37
20	415
1	11
1991	87
154	1
16	798
2221	896
67	3077
128	141
56	514
7	390
5823	1223
4095	4
203	773
2	89
1	69
64	1086
0	0
11	0
1275	2432
17	41
1111	1
14	103
1009	614
288	78
2	416
13	407
1979	1
151	92
393	1812
156	3850
899	0
20	153
25	637
18	86
21	33
0	1
81	0
1065	0
1030	11149
2423	2
6	1815
20	0
9	622
0	547
12	748
1228	85
2826	2
2107	2
1	626
258	0
85	1306
7	203
38	1564
135	1240
111	0
21	319
52	743
16	2874
8	8
1201	3
0	78
1	0
7	1663
4	38
2	597
46	127
77	2812
57	956
212	0
92	206
2	0
2	747
0	110
5	63
77	669
8	8
43	368
183	2329
243	0
91	797
73	358
404	6376
10	671
14	1
724	1
5102	112
259	4694
1117	162
91174	76
4	99
39	140
107	165
2207	306
122	400
900	0
1	156
32	51
138	633
4	12
3	456
6	393
561	1
2	0
299	1154
29	405
11	196
1	535
2341	2
1955	3
100	726
2	0
2	1
136	1030
1266	0
0	0
10	95
1	0
2	386
1454	364
70	0
30	548
4	266
0	672
3326	3
410	1
39	190
6	468
0	190
7	51
72	26
58	0
15	799
0	346
0	0
8	904
1	10
423	124
110	247
2	853
1379	2
115	267
19	0
11	0
10	2
0	1
0	86
0	3
5399	4
1	147
1001	0
3400	4
339	0
13	629
19	48
0	285
201	9492
2770	3
593	0
9	745
547	743
0	6
15	192
35	112
5	2369
0	20
8	340
14	2013
9	5395
0	561
807	661
159	1
113	743
377	0
1072	2
105	2759
92	304
95	1508
76	208
12	952
1004	42
140	306
317	0
10	0
24	0
3282	1
0	55
0	3091
356	480
2	10481
0	11
42	2
1	31
5	7525
1282	0
39	0
24	2327
187	122
8	781
66	216
9	80
52	0
2	116
82	0
1	313
2144	1
2	611
505	225
1704	527
25276	18
2741	375
35	0
438	1439
0	284
23	0
25	1524
0	1574
0	3
1738	4
397	313
6994	60497
8	2851
6	0
1	287
6	0
124	45
2524	105
404	15177
19	262
1872	4
16	6869
115	418
1788	3
57	108
10	2032
4	111
1805	2
2344	4
5	50
31	199
19	190
9187	5202
0	62
17276	9306
26	1
231	826
0	203
1523	61
453	630
1	5669
2	52
94	90
15	957
1	42
60	1322
18	64
1	258
7699	7
0	16
15194	1025
726	0
6	131
1142	4
222	29
1205	379
44	597
97	3290
67	0
1	0
60	0
327	1013
5	1439
2	171
12	0
78	252
14	5
0	0
4542	1
68	686
6	42
0	28
24	177
27	0
85	760
1	270
564	0
0	202
435	82
460	0
741	1
4	359
2532	4
1331	2
536	0
52	1856
110	2222
52	0
4	154
32	42
130	0
450	0
1	25
2603	0
67	6148
197	924
648	2980
396	233
1205	2
447	397
2955	124
6	1855
1	0
58	961
4	602
25	759
43	1117
0	73
1136	55
67	0
183	0
41	521
596	853
26	349
12	33
20	1625
808	0
1490	4048
4	205
415	583
171	0
15	1085
463	279
11	1298
3397	2
3	34
7	214
15981	10
0	132
650	2
295	0
3512	2
7	144
103	257
17	61
0	1321
21	4
375	666
2	0
98	676
2903	206
0	10
2	145
24	183
182	100
4	230
28	115
5	2008
335	1913
1112	8581
2	494
4	377
7	3346
95	2317
6	818
63	0
11	31
337	2
0	468
137	0
617	0
28	102
68	411
1	53
245	4
1363	0
2039	1
368	519
2	146
5	0
5	7
7	0
84	829
78	0
14	4817
4	22
0	0
87	837
1504	1
13	289
2	723
51	0
5	560
1063	374
2347	2
1328	1
1	65
71	30
48	239
897	592
36	643
204	0
0	131
0	1
1071	1342
10	182
2043	0
2035	2519
157	160
0	13
0	11
3125	2
0	3
53	230
912	3471
11	120
434	1
0	130
5	3
103	0
8	974
236	1
42	0
6	159
5	651
70	405
3	27
15	57
0	1296
144	0
16	69
1	141
2200	3
2	3
1	263
47	551
2197	770
99	48
65	177
101	1374
1	92
2	138
47	1
1	235
1	1062
1687	1
0	18
22	0
1916	4720
0	0
553	774
0	0
3	108
3707	8
64	1366
416	21
65	727
46	306
0	184
4	858
512	1
0	91
251	0
10	137
41	39
55	0
57	1
20	156
91	8
570	164
320	94
642	0
81	729
1371	876
11	21
125	9222
169	336
6	732
13	13
0	528
96	209
802	1120
0	63
12	1855
11	245
13	438
9	373
0	1
4115	300
2556	364
1	396
1355	2
14	0
0	558
1	369
10	9
26	16
5	285
2776	292
1	1
1	6
2913	8
3781	4
21	301
4	1156
1	29
2258	1
20	3
33	0
0	613
9	334
7	1077
2502	1
2119	3
49	513
5	56
1	0
0	1289
518	11
300	0
3698	4
4419	4
1	971
7	89
719	577
583	2126
1	92
944	1
217	3275
0	220
130	3056
15	0
55	89
28	9885
1365	0
150	0
3614	9616
579	0
10	0
292	1
851	0
55	1840
1	10
1	12
79	26
0	728
5810	5
7	207
287	0
13	6
1	64
575	0
666	2613
11	512
1	33
7	291
178	97
0	480
5	432
20	203
0	391
2	0
2296	157
833	184
7889	5
4	13
7116	859
2498	0
12	1519
1	0
3	124
41	21
3650	3
0	10
10	0
5296	6
3	59
62	0
547	1
0	851
2327	0
8	2145
4	138
6757	10
2309	2
533	174
120	46
310	532
7	179
2442	2
63	2451
435	42
15	0
456	470
0	102
141	0
1	41
2	404
9	2141
17	57
16	858
97	55
819	1
24	50
6	0
25	0
0	109
5	360
7	1966
4012	3752
4	134
9	107
1	18
13	354
8	62
1	2378
5	636
5	67
242	3670
4	1257
4	5010
24	0
5	567
4	9
26	0
1	172
576	1
227	542
6	0
2	1
4	376
0	1040
1	0
1156	0
1543	3
7	288
1644	239
39	836
35	147
1	50
70	0
11	23
104	203
748	9219
23	0
0	100
15	104
1	3239
66	100
34	0
3	0
22	7
346	0
9517	6
2	1398
21	466
49	321
0	669
25	1124
792	40
119	299
1112	309
8	39
3	104
6	0
1	1966
14	2555
95	1693
11303	6
35	186
6	770
42	549
3	1001
2	122
4	441
111	2775
100	785
253	9
174	1
418	815
24	246
8	455
29	924
80	415
5901	0
2	0
7	186
13	14
0	117
5827	6
0	13
1359	1
6	58
730	5187
27	1409
828	310
233	1
0	14
0	36
11	0
734	3309
516	0
57	0
7	286
1	15
11	878
1245	0
3	140
31	0
0	1364
61	1810
126	9263
0	1485
548	0
0	0
0	1
7524	5
7	429
2	1029
31	2844
0	917
47	4934
400	0
45	557
450	142
4	49
235	331
1340	0
63	3323
3	244
7	214
1093	11
0	1
2	76
32	3015
1	469
170	0
24	641
26	125
290	420
4	109
4	382
547	1290
629	0
1	13
727	1
0	0
200	816
152	315
587	290
1	4
81	215
3	22
61	1097
3	113
370	235
319	0
0	122
78	122
760	0
19	487
819	0
305	377
415	0
10	356
229	0
2	292
5891	6
27	930
53	1
3	1096
3	1957
150	1913
0	0
19	378
9	2074
80	131
6	278
8	406
262	0
37	201
702	0
49	236
21	25
5	795
1129	8380
45	95
70	1406
0	2
173	215
7	4879
0	153
1201	0
1262	1
23	10476
5	171
160	400
2041	492
1785	6
22	2085
1400	0
53	2848
142	253
474	0
1	0
64	0
986	609
2	710
32	1329
20	225
14	839
1237	799
412	40
0	123
0	477
11	8
164	176
1	0
254	79
26	1215
10	745
48	1364
0	700
0	8
549	2367
28	390
33626	34
2	398
436	76
538	0
51	4013
404	0
270	0
0	7
2	107
29	0
1	0
54	3097
0	10183
1517	1
1844	368
75	10450
22	165
241	0
534	244
981	1
33	305
3523	3
2	41
12	278
8	725
9	38
6	980
282	0
98	0
6	14
243	2282
355	0
2	32
2	0
5	207
0	49
52	145
0	3
2	2395
39	464
46	19
1615	1
355	208
17	1730
1268	1
447	98
2	186
99	401
2	1233
0	3699
28	176
19	362
785	4177
12	0
2	0
1013	10560
26	380
1376	0
0	0
0	34
25	3021
1239	1
7	60
53	380
0	4274
455	1
39	834
1	2036
7	800
1	83
4	274
4	286
0	4
434	382
1354	108
15	553
32	398
2	326
135	1
107	1201
4	153
1033	0
134	81
354	0
1585	0
3	103
648	1318
432	26
1854	0
12	0
1	200
44	0
202	2043
0	351
2287	1545
9	170
142	434
248	1034
38	98
13	0
307	31
101	0
379	246
163	90
402	1
205	13574
8	0
577	0
0	31
1080	0
153	27815
235	182
1	0
10	269
747	106
158	220
1	1652
4343	4
555	2761
144	1083
23	129
4	615
8	0
0	394
33	583
2743	2
10	238
300	68
9	177
20	683
9	0
1334	2305
25	1324
113	1927
0	2
92	654
13	7228
0	89
237	54
1231	0
0	2376
1535	1
7	983
33	0
127	33
15382	9
15	647
3	0
1523	2
271	373
1489	765
1549	2
11	141
4722	2
31	207
99	19
42	80
1	0
1083	5
891	230
1	2776
339	195
1	1494
1	1866
124	0
53	3038
556	0
321	2038
224	2200
147	911
8	3774
8	1126
0	690
51	484
1447	194
34	71
1629	2
3	4
459	0
47	529
37	907
5	834
569	370
3	30
13	4
0	49
2	700
10	153
48	5288
104	536
4	971
13	11
433	15175
12	120
3272	2466
0	0
20	1422
13	324
400	482
0	0
1887	2166
1	754
2	116
18	308
13	704
1421	68
14	687
1735	1
8	1
38	1186
1991	1282
6	0
2136	1180
5	2092
336	0
390	0
11	35
440	0
6	102
0	1503
11	1685
2	4562
128	0
15	244
1	98
12	516
1045	1
0	1650
2	4
227	2436
0	107
3	0
8	623
0	114
14667	15
3166	3
86	98
0	0
6	111
12	307
27	615
756	841
814	1
4	827
0	1
284	1
684	1
55	0
4	27
5	387
10	579
838	0
1	493
0	1358
526	2055
3	178
1384	0
58	2338
1012	3312
158	4214
64	781
495	587
2	136
432	4749
2865	0
445	812
66	18
240	0
0	0
12	441
7	0
2	662
6	21
41	85
242	0
1028	0
0	12
4810	630
3595	849
393	0
9	315
61	55
9585	4154
33	934
9	222
256	1150
1	0
0	1029
112	0
8	4
9	133
8	131
20	987
72	0
5	404
13	867
42	55
53	84
12	56
134	37
330	403
4	1
676	208
1	1435
1	111
5	394
53	0
3	279
468	263
61	0
1379	1
4	106
637	2
14	856
1	62
402	77
3	72
11	202
4	528
29	1138
1	55
2830	2637
1083	0
1719	1127
33	190
3	1384
1543	0
4	60
11	0
0	106
158	244
0	12
10	66
0	201
7	459
0	0
1	43
71	1297
0	95
2	0
319	145
21	1610
3	582
15	233
3	318
5	781
1232	0
149	0
8	0
3	13
101	1072
40	39
164	52
612	5618
14	90
1106	659
18	480
123	640
34	147
2083	6
4	320
18	155
1	429
5	139
55	739
2220	322
3	39
51284	37
202	0
0	0
2323	0
349	0
172	0
355	2346
4	0
1261	3
1	2064
1	51
1526	174
5	117
388	0
0	0
1111	395
1	0
72	616
114	59
1	742
4	0
4	1140
26	2713
9692	7
0	65
23	0
18	27
0	3
5	170
20	0
923	0
346	572
3706	846
247	1
5	852
8387	4997
27	1932
34	695
6	8
4	100
2	0
3	79
2338	17012
5	19
0	0
42	1844
2355	1
928	0
310	5080
0	47
0	237
44	285
73	91
1843	364
2495	2721
15	0
1	2404
3203	3
2	1620
5	67
3	92
635	0
2042	1702
14	146
14	0
15	331
98	152
2026	1
453	0
189	897
1	828
730	0
11	1288
1855	2
188	1385
181	576
30	1633
384	0
293	102
12	0
1722	1517
50	0
0	33
104	1
113	0
28	0
10	101
1849	2
1069	18
3	169
268	23758
342	1
512	0
3	2146
1671	883
35	1885
0	81
1667	1791
2	358
12	428
183	1
82	59
1006	102
65	0
362	134
1133	1
5115	3
5	474
93	0
0	0
637	2
10	18
1168	0
1415	4
353	0
3	34
32	0
1	621
23	818
115	8
20	0
214	104
0	0
2	27
0	3
4	150
3772	2
49	773
588	1086
2406	2359
3	21
0	1
