UniqueCount	AmbigCount
2	0
0	169
5	290
0	0
6	855
1	35
51	0
52	140
1	978
8	61
48	1387
13	50
3	1560
6784	5
1	548
1203	397
0	1
2	47
295	0
1234	2104
2032	1290
3508	3
503	936
1	629
1	203
136	614
1	2084
829	160
538	2
8	424
186	131
43	164
60	223
6	937
66	515
566	1
7	133
13	0
138	1
126	176
0	212
0	817
8	0
107	471
138	0
1	693
625	1560
23	188
372	1
824	199
7791	3182
5	0
47	0
0	102
12	1148
1264	154
11563	11
0	12
713	775
5	0
838	2
43	442
887	2
270	1
1	83
115	222
151	0
665	1588
886	1
35	77
356	163
46	97
70	78
2670	6
374	888
233	0
472	27
2	505
36	941
159	928
20	874
0	168
0	21
6	287
132	107
1	195
91	0
5439	5
16	2225
239	138
113	0
537	0
1	410
1	778
841	139
5	0
260	1
26	1036
287	0
26	99
228	29
0	277
4	86
8	539
5	877
3980	2
770	2
10	153
0	1340
3	487
12	8
1	186
1034	4373
11	510
3	14
11	5
263	50
129	593
5	21
1782	2
12	34
258	0
1	473
246	142
318	491
0	183
12	0
0	164
21	0
1	1644
1	27
5	322
56	0
3	233
1	33
109	4562
226	77
5	465
259	39
75	77
246	399
1839	0
1	2007
154	0
7	1490
31	168
2	140
9	274
0	515
49	1450
1	14
46	24
2	376
1359	1
7	485
43	0
49	725
630	577
22928	339
332	1448
0	381
1362	183
1782	1
1	485
2085	2
4	1484
79	0
1195	2180
54	33
39	241
1	563
21	2589
55	188
0	1
4	378
708	2
0	156
66	158
15	268
2	560
90	970
4	62
209	37
3881	575
4156	2
122	872
276	497
304	187
23	775
1	11
71	7058
727	844
5	905
6	459
187	241
0	110
6	23
1510	612
27	0
47	1
2810	6
14	206
706	1196
687	4
2	0
732	0
2	107
4	221
1012	0
3337	560
423	1351
10	0
1227	666
4	144
593	0
23	35
0	0
69	0
753	0
19	0
531	0
673	92
1	12
28	516
702	292
1	585
4	2112
6	5
15824	18
0	26
49	0
1136	122
0	49
41	370
31	1293
1100	649
27	57
6	106
2768	3596
3	53
21342	118
2406	3
3046	2
15	224
1201	161
445	0
2	950
63	2835
0	4069
0	229
251	6121
1340	2
445	1715
694	885
40	305
0	1690
3	193
7913	6
3055	3
901	271
28	0
395	0
0	5
8	723
1656	2
24	5624
27	443
2304	1478
60	30
159	473
75	303
235	151
3	93
15	0
767	1
1427	4
744	30
2	156
9	1210
79	203
135	313
32	300
6543	12
26	0
3	879
1	96
14	430
128	0
11	383
4	79
41	720
36	24
0	0
2	401
3	32
16	168
18	967
0	359
436	0
624	282
1027	1
44	10
0	167
82	761
2534	257
1	0
610	0
1	533
1	730
12	522
3	583
8	2005
3	1138
0	8
45	1367
0	88
1800	825
34	0
0	53
1585	9
390	46
4	0
0	4
44	0
1	167
1	1058
1	1
124	180
201	27
21	0
194	994
1134	1093
1	279
4	2
2	83
77	139
0	796
899	2289
2	8
498	1
6	0
5	1204
15	1126
6	268
74	24
9	142
83	0
786	294
0	172
169	194
2049	1881
29	0
81	309
49	253
7	223
1792	2240
4453	8
10	22
4	1063
292	1285
1459	2
264	386
3	706
153	361
27	3
0	16
901	1
258	31
3	0
8	1034
12	463
2805	1440
8	321
6	162
25	0
128	348
11	457
2	706
4	108
50	0
1170	4
1	361
21	0
1	34
9	57
809	339
0	124
4	0
147	23
4	1557
158	84
10	17
0	1235
0	175
4	22
977	0
267	127
3506	4334
5	464
193	265
1830	17823
0	489
1	57
52	178
72	0
2	124
5	47
702	181
47	784
1	434
2	121
21	30
5728	51623
1011	1
8	6100
3	0
7	217
1289	1350
17	259
0	5
2	454
1	0
97	1329
13	586
161	26
2	500
4	74
2863	2
158	987
5	222
0	61
0	481
1002	853
324	31
22	354
2	4
1624	113
158	0
8	569
1479	572
18	2070
97	142
42	343
2	428
3916	939
3322	3
227	702
0	60
0	95
17	649
3	0
16	0
883	1704
30	82
678	2
10	72
605	465
190	56
1	368
15	328
1420	3
187	114
503	1923
140	3490
