UniqueCount	AmbigCount
7	0
0	199
10	371
0	2
17	1257
0	57
18	0
60	162
0	218
11	77
45	1061
17	23
3	1953
7997	18
1	745
1585	286
0	0
6	62
223	0
1634	2457
2314	1570
3186	5
577	894
0	751
1	324
44	390
3	2651
556	125
524	0
3	474
188	157
59	203
31	183
5	1022
43	294
733	1
9	125
10	0
137	0
146	200
1	263
1	766
7	0
123	571
76	0
2	602
650	1953
23	229
303	0
1156	239
9114	3851
6	0
65	0
2	69
18	1498
1669	236
9632	12
0	7
984	1031
2	0
1122	0
29	370
1111	3
254	0
1	95
114	228
141	0
1057	1910
1044	2
20	20
429	247
23	100
142	96
3669	4
81	364
389	0
408	23
9	677
30	1190
267	1001
12	1002
0	195
0	21
3	222
235	133
2	264
55	0
3063	6
20	3005
331	180
53	0
253	0
3	481
2	502
690	85
7	0
345	1
6	739
442	1
26	43
111	21
0	113
17	58
6	278
0	441
5437	11
673	2
10	125
1	1660
0	230
6	9
0	220
1251	6275
0	135
3	18
9	3
224	28
251	863
4	29
1814	0
10	46
348	0
3	468
305	196
436	601
0	186
14	0
0	150
18	0
0	1515
1	22
0	179
52	0
3	243
0	19
123	5677
149	55
10	516
181	21
46	19
319	527
2219	7
2	2654
290	0
7	2011
15	106
2	132
12	146
1	294
67	1850
3	29
51	20
4	436
811	1
12	640
21	0
68	818
92	173
32376	734
467	1909
0	279
1903	208
2108	2
4	575
2809	6
7	1091
52	0
1602	2781
36	28
62	309
2	688
17	3432
52	59
0	0
3	465
845	2
1	160
24	18
10	85
3	758
85	1314
5	77
189	24
4286	464
5488	8
112	754
358	578
319	198
0	407
3	5
40	5469
920	899
9	1153
12	635
197	218
2	64
6	29
1802	704
61	0
54	0
4372	2
27	301
1024	1797
631	0
1	0
821	0
0	34
4	303
1330	1
4404	749
446	1873
18	0
1638	891
0	63
559	1
33	37
0	0
58	0
678	1
8	0
672	2
909	117
7	14
43	708
1075	373
2	359
2	2459
2	0
19898	31
1	19
12	0
927	160
3	22
20	196
17	756
1426	790
33	99
7	63
4008	4804
8	25
29988	138
994	1
3824	6
12	220
1558	194
532	0
1	1250
40	3852
1	4580
0	253
148	5743
1661	6
272	630
923	1174
47	353
0	2406
4	270
3591	8
3121	5
453	205
7	0
419	0
0	8
1	793
1673	3
39	7626
16	280
2756	1647
32	23
165	468
53	172
330	206
9	84
17	0
929	1
1786	9
999	8
1	193
4	452
60	249
143	255
12	250
5171	6
43	0
8	1580
3	58
9	359
97	0
20	481
2	76
46	802
65	15
0	0
4	343
5	66
12	128
14	1010
0	444
275	0
532	207
1138	2
36	9
0	222
120	976
2754	263
5	0
780	1
7	682
2	718
18	743
0	726
6	2068
5	1490
3	9
36	1279
1	86
2303	1119
30	0
0	60
891	9
439	62
3	0
0	0
38	0
1	121
2	1503
3	2
136	126
128	11
16	0
129	674
1496	1321
2	233
6	0
4	150
111	182
2	692
709	2047
5	10
718	2
25	0
14	1337
17	1337
3	200
44	9
7	55
29	0
945	361
0	122
63	106
2591	1929
35	0
114	442
69	295
6	211
2352	2854
5215	9
16	11
6	1282
449	1396
1131	2
343	393
4	629
213	459
29	7
0	26
628	0
301	26
0	1
12	1364
12	414
3293	1584
11	237
9	195
9	1
176	414
12	416
7	872
6	87
2	0
1544	5
2	201
19	0
1	34
2	9
1115	441
0	72
11	0
175	8
8	1990
103	85
14	8
1	1787
4	241
2	14
1091	3
92	38
4625	5644
4	663
190	125
1497	18032
0	272
0	100
64	186
24	0
1	150
1	20
728	115
43	1118
2	315
3	160
21	38
3722	31492
1335	3
15	6597
3	0
6	159
1574	1597
8	226
0	20
9	344
0	0
146	1653
13	868
233	18
1	674
13	64
3637	4
86	898
10	309
0	70
2	629
558	735
212	28
14	382
2	3
2101	73
89	1
13	796
1768	862
15	2477
136	164
58	500
1	511
5224	1028
2332	1
116	523
2	83
0	78
21	696
0	0
7	0
1367	2458
25	65
983	1
13	62
866	639
203	95
1	269
9	353
1229	2
212	93
596	2536
211	4528
404	2
8	111
14	456
6	33
8	8
0	0
82	0
1045	3
819	9106
2505	3
2	1706
2	0
7	410
0	600
6	390
1355	67
2856	4
1634	3
0	440
331	0
70	926
2	112
25	1386
79	621
119	0
19	359
29	364
18	2750
5	6
1496	6
0	83
0	0
2	747
0	60
1	554
23	128
59	2104
32	735
251	0
75	210
1	0
0	611
1	82
1	51
55	384
9	4
36	373
199	2548
195	0
57	486
58	314
228	6099
2	541
22	3
773	1
7709	113
181	3337
947	143
83753	128
0	98
43	149
26	34
1674	163
236	533
485	3
0	58
2	33
152	694
0	13
0	275
8	353
577	0
0	0
331	1327
29	247
11	75
0	459
2538	4
1699	6
49	475
1	0
0	1
138	1292
763	1
0	0
2	41
1	0
3	481
1357	392
13	1
27	227
2	200
0	699
2471	3
452	1
41	165
5	332
0	156
2	28
70	13
23	0
5	391
0	194
0	0
4	1400
0	8
475	135
57	212
1	982
2191	3
55	181
4	0
2	0
6	5
0	3
1	58
0	7
4833	9
2	155
627	3
3007	2
320	0
4	513
10	35
0	165
139	6960
2579	6
319	0
5	753
290	355
3	10
4	111
11	43
5	2947
2	2
3	199
9	1973
5	4843
0	667
697	493
165	0
85	700
446	1
1136	1
108	3351
99	290
92	1687
60	145
14	592
555	18
90	265
268	0
4	0
35	0
2482	4
0	73
0	2260
334	407
14	11141
1	3
4	0
5	17
5	10585
1272	3
36	0
29	2628
78	78
9	583
72	207
4	63
15	0
5	62
55	0
3	518
1805	6
1	302
455	245
1182	340
22637	36
2680	334
39	0
324	1093
0	243
40	0
31	1912
1	1032
0	0
1224	0
618	322
7789	56926
2	1797
9	0
2	323
6	0
95	28
1789	83
319	10991
10	220
1926	4
19	7424
75	298
1568	2
38	103
4	1331
5	87
639	1
1916	3
2	16
12	79
11	86
9503	5226
2	56
15456	5066
17	0
149	497
0	84
1237	34
373	507
0	5355
0	52
26	61
4	740
3	56
30	1053
9	25
7	131
5522	11
0	16
25487	1325
685	2
1	102
783	3
195	46
1073	352
59	733
31	2726
85	0
0	0
62	0
237	975
0	910
0	148
2	0
83	342
1	0
1	0
4885	8
78	1224
4	57
0	26
9	73
43	0
49	560
1	96
595	1
0	190
405	43
246	0
500	1
2	273
1938	2
1023	0
528	0
72	1888
47	1147
29	0
1	164
31	18
89	1
362	1
0	16
1492	4
42	6308
92	406
362	1870
119	41
1180	1
197	239
2832	116
3	2204
0	0
56	991
4	589
10	599
5	634
0	37
779	29
45	0
154	0
16	143
415	659
12	252
15	18
24	2103
798	2
1113	3332
1	102
389	498
132	0
19	754
475	317
3	1031
2254	5
5	33
3	144
20606	29
3	67
412	0
263	0
2434	1
4	127
36	120
14	42
0	1229
17	2
254	489
1	0
83	516
3480	222
0	8
1	157
20	125
363	147
3	93
27	87
1	1164
304	1623
687	3650
0	220
1	221
2	3240
89	3068
5	703
45	0
6	19
380	0
0	377
88	0
346	0
35	108
57	371
1	30
315	1
729	4
2020	5
360	389
2	172
2	0
5	6
6	0
92	976
50	0
12	5854
1	12
0	0
51	666
2106	6
4	262
1	834
24	0
2	452
946	287
892	3
642	6
1	41
64	16
16	143
1378	939
9	197
119	1
0	124
0	1
981	1154
4	182
1176	3
1358	1358
149	187
1	5
0	6
2021	5
0	1
61	220
517	1821
7	99
377	0
0	18
1	1
113	0
0	436
236	0
39	0
10	156
10	429
22	140
5	18
24	63
0	841
105	0
2	44
1	210
2220	2
0	0
3	263
85	719
1836	678
124	37
22	79
37	572
1	79
2	109
64	0
2	182
0	742
1750	3
0	19
14	0
1814	4509
0	1
271	486
0	0
3	130
3609	10
58	900
266	12
29	530
36	266
4	115
5	452
610	1
2	93
231	0
11	154
28	39
49	0
49	0
5	125
120	6
519	119
166	26
517	1
45	605
1349	666
9	13
154	9125
207	315
5	679
8	6
3	547
98	148
621	1027
0	101
9	1521
9	186
13	459
10	309
0	0
3227	287
2619	304
1	468
959	1
17	0
0	416
4	482
12	16
29	16
1	188
2398	184
0	0
0	7
3799	8
3983	9
15	140
8	1141
1	10
1055	5
31	6
15	0
0	582
2	201
5	1190
2859	5
1563	5
42	511
3	38
3	0
1	1510
369	2
242	0
2012	6
4110	6
0	794
2	77
930	570
580	1732
0	40
712	3
110	2886
0	315
39	2315
6	0
65	87
24	7613
1189	2
106	1
3687	10410
408	1
7	0
188	0
602	0
59	1865
2	6
0	14
98	20
0	364
5786	13
8	158
91	0
5	3
3	72
336	0
543	2018
0	174
2	18
1	257
57	32
0	237
3	547
2	52
0	231
3	0
3233	199
318	101
5928	4
0	25
6088	683
2192	4
6	1318
0	0
2	97
28	16
2942	2
0	5
3	0
5561	11
1	40
87	0
334	0
0	948
1425	6
6	1322
1	45
5399	8
2508	5
371	120
65	17
201	610
13	207
1949	6
95	1714
164	9
3	0
498	481
0	126
128	0
1	57
0	294
1	1992
8	19
7	892
77	57
733	2
45	114
10	0
30	0
0	38
1	120
2	1135
3598	3306
3	169
8	74
1	16
2	129
11	70
0	1985
0	433
12	72
248	2753
0	1297
1	6417
36	0
9	616
14	23
55	4
0	60
625	0
171	471
11	0
1	0
3	283
0	1000
2	0
970	0
1064	0
6	308
1793	207
64	995
22	137
1	71
