	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
ENST00000298295.4	4557.85971783966	-3.19480824963899	0.0853707245421298	-37.4227613362046	1.66649430222344e-306	3.03451947491867e-302
ENST00000261267.7	36709.0875608721	-2.52013731129472	0.0674870664612836	-37.342522700116	3.35285650251571e-305	3.05260820271543e-301
ENST00000373316.5	25380.1511656213	-1.8355180106714	0.0547077639411964	-33.5513257797254	8.61093640603848e-247	5.22655136725182e-243
ENST00000225430.9	23927.8513849727	-2.03295837985903	0.0612776531519473	-33.1761788399108	2.37513967003709e-241	1.08122295629263e-237
ENST00000361436.10	14308.8348713186	-2.26632895054143	0.0685731376404053	-33.0498067979034	1.56557323458126e-239	5.70150460569802e-236
ENST00000630287.2	3409.2936893432	-3.00047971817234	0.0934934639814724	-32.0929355956578	5.53215587390398e-226	1.67891710513196e-222
ENST00000377482.10	15624.4646799196	-2.27208440944548	0.0729839538777998	-31.1312869298603	9.08911914730343e-213	2.36433957933212e-209
ENST00000409320.7	13191.529088025	-1.96857068026607	0.0634675701897722	-31.0169536092199	3.18479195651082e-211	7.24898459201319e-208
ENST00000582401.6	5486.77630080101	-2.28040869458571	0.07500823509552	-30.4021110706271	5.1511124345421e-203	1.04218451467308e-199
ENST00000212355.9	4959.26623235216	-2.76577239734353	0.0917248085023667	-30.1529372751121	9.81620789892352e-200	1.78743329631498e-196
ENST00000379270.4	5523.53580497109	-2.19143426760903	0.0733069879312163	-29.8939341180577	2.35954042026233e-196	3.90589741023243e-193
ENST00000367545.7	9164.54522951389	-1.81764283015959	0.0637207946118865	-28.5251124257093	5.71966809622686e-179	8.67911969701625e-176
ENST00000368636.8	9444.31362962498	-1.71856504451441	0.0630621696931938	-27.2519174788224	1.57713480872977e-163	2.20908059478157e-160
ENST00000396651.8	26452.9941039725	-1.48106755382571	0.0570352605251223	-25.9675776035658	1.151347320136e-148	1.49749166802545e-145
ENST00000320623.10	3273.13147450708	-2.52708131451019	0.0980698759081118	-25.768170818101	2.01713488214065e-146	2.44866727125994e-143
ENST00000357430.8	16658.4086705121	-1.82065408461855	0.0715541380192586	-25.4444276042922	8.13677126273797e-143	9.26015424519973e-140
ENST00000234590.10	66321.0399008228	-1.69226845302537	0.0671750517602677	-25.1919188550042	4.91180283365496e-140	5.26111869400136e-137
ENST00000545215.5	27722.9102393461	-1.61739503460948	0.066136084344086	-24.4555608432254	4.39158459020679e-132	4.44257576683753e-129
ENST00000216146.9	48678.0510604413	-1.25419257295944	0.0521697981001815	-24.04058705673	1.04721690597386e-127	1.00361961267779e-124
ENST00000352983.7	23000.8174205745	-1.61455522251249	0.068877643792633	-23.4409183242877	1.63621248139979e-121	1.48968965369044e-118
ENST00000543163.5	3485.67239748512	-2.17012345513636	0.0935897281654594	-23.1876243010317	6.07027754689735e-119	5.26350875483114e-116
ENST00000398136.7	30316.8840418518	-1.47988941473125	0.0640259024474278	-23.1139173078646	3.35470874198502e-118	2.7766314310366e-115
ENST00000375780.6	8611.64249589404	-1.57341691317376	0.0682967705590058	-23.0379401587428	1.94313641290559e-117	1.53837264967817e-114
ENST00000290573.7	6160.38946414552	-2.27066174710808	0.0986990200980319	-23.0059198647845	4.06680631774333e-117	3.08551984332451e-114
ENST00000421351.4	4966.84384404152	-1.71100610042737	0.0744416542636366	-22.9845254965427	6.65756073741703e-117	4.84910093870507e-114
ENST00000406697.5	3074.53174631206	2.66747348130084	0.11607458745924	22.9806845726464	7.27318352714427e-117	5.09374610945269e-114
ENST00000396861.5	73845.8442498757	-1.48940821766858	0.0650889598821544	-22.8826550672373	6.91607218643309e-116	4.66425031269482e-113
ENST00000265983.8	1044.89986454783	4.05555249512	0.180090315977871	22.5195478896174	2.67079052636964e-112	1.73687231052374e-109
ENST00000223095.5	39400.7525954312	-1.78684956960987	0.0794389818084778	-22.493359417897	4.82081586228954e-112	3.02697365642863e-109
ENST00000537345.5	18632.3901132664	-1.23672971475365	0.0555178434238434	-22.2762563976415	6.27920147761925e-110	3.81126599019896e-107
ENST00000307961.11	50422.4847076272	-1.45121044272288	0.0651638583573076	-22.2701736715094	7.19219702812398e-110	4.22460373177772e-107
ENST00000229270.8	23207.1114921929	-1.19639137293328	0.0550889015659249	-21.7174664755578	1.40306245527282e-104	7.98386382751961e-102
ENST00000317881.9	7541.37886268183	-1.49416438339556	0.069005364593989	-21.6528728191912	5.71073581768742e-104	3.1511148031597e-101
ENST00000276914.7	11544.5970255055	-1.49156319579518	0.0707307196322493	-21.0879120635315	1.02695074495745e-98	5.49992532792065e-96
ENST00000290551.5	1159.27908702124	2.92789483906575	0.139111050849895	21.0471764908529	2.4271492124163e-98	1.26274171453967e-95
ENST00000264968.7	3967.52259255402	-1.73165526080501	0.0824288392307878	-21.0078811853294	5.55590303293399e-98	2.81020662018597e-95
ENST00000514985.6	73621.2593890462	-1.63599665574337	0.0788807015198834	-20.740138262221	1.50492437968713e-95	7.40626162965484e-93
ENST00000373509.6	2717.68973593793	-2.31179523772394	0.112950709597419	-20.4672927329424	4.21388567948254e-93	2.01922748257099e-90
ENST00000264258.8	5907.87172924703	-2.07618041554551	0.102709422031569	-20.2141183786174	7.3547575190865e-91	3.43391742730888e-88
ENST00000375036.6	1836.12497394917	-2.17068318295633	0.108212194735631	-20.0595061236808	1.6673171929155e-89	7.59004469144958e-87
ENST00000263556.3	11151.9833588323	-1.62886276274708	0.0818583781679596	-19.8985467242574	4.18898916440175e-88	1.8604220413315e-85
ENST00000496634.2	43777.7166381827	-1.14312660099748	0.0578514747317553	-19.7596795293103	6.62238600203877e-87	2.87111968359819e-84
ENST00000359543.8	3320.95229466839	-2.28121024881568	0.115711082513246	-19.7147083863341	1.61242902695333e-86	6.82807445390541e-84
ENST00000263966.8	1951.98533334279	-2.08429032723876	0.105903464248562	-19.6810401059857	3.13502090553551e-86	1.29739990156582e-83
ENST00000503277.6	12541.1829176562	-1.46954874061036	0.0746854258545147	-19.6765128376319	3.42792742675943e-86	1.38709178919694e-83
ENST00000651992.1	3253.11149543186	-2.10421034679921	0.106988170236433	-19.667691691045	4.07932873219505e-86	1.61479341053347e-83
ENST00000448464.6	2042.94249072823	2.16065989577286	0.110553426312215	19.5440337567731	4.636884300298e-85	1.79644736647077e-82
ENST00000252825.9	808.76376791453	-3.33948875639294	0.172355301187123	-19.3756080224497	1.23988306743548e-83	4.70354807811098e-81
