	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
ENST00000377482.10	15602.2306816961	-2.70064644242384	0.0590774564731087	-45.713654643428	0	0
ENST00000531975.5	3459.23827810576	-5.52895931811752	0.15719109674788	-35.1734890366308	5.08606288177058e-271	4.69748767760331e-267
ENST00000223095.5	35774.5444704312	-3.0485569795312	0.0868864675301089	-35.0866719086581	1.07647719552591e-269	6.62822891858486e-266
ENST00000373316.5	26119.4531214608	-1.93595617991463	0.0559882373273523	-34.5779090810713	5.42791538829543e-262	2.50661132631483e-258
ENST00000075120.12	6374.93911854683	-3.07950358331486	0.0912664891223173	-33.7418872242104	1.40607713127413e-249	5.19461135377915e-246
ENST00000379270.4	5620.40928346303	-2.4158940546799	0.0728659291471081	-33.1553317573496	4.74500705040601e-241	1.46082950391833e-237
ENST00000396651.8	25956.3664993041	-1.85720779039199	0.0561333537386058	-33.0856374454371	4.78228113286611e-240	1.26197567266147e-236
ENST00000368636.8	9451.95261991461	-2.0043819123341	0.0643773814803921	-31.1348779065298	8.12677951431358e-213	1.876473389855e-209
ENST00000245787.9	7359.28405366823	-2.16118076203339	0.0713173043607762	-30.3037359783051	1.02352055878044e-201	2.10071908464359e-198
ENST00000256689.10	47047.3738960792	-1.70269265608309	0.0585307282076115	-29.0905770050143	4.7237746666197e-186	8.72575656417992e-183
ENST00000290573.7	6029.54737295627	-2.93326260032096	0.1010703351495	-29.0219934066921	3.47349923419582e-185	5.83295253218775e-182
ENST00000491306.6	24792.1645208006	-1.63647673571277	0.0564343606616175	-28.9978785358294	6.99756806230825e-185	1.07715897705798e-181
ENST00000229270.8	21736.4867522528	-1.79601938589417	0.0621470180332537	-28.8995263607524	1.2103986176587e-183	1.71988332810704e-180
ENST00000496634.2	40730.5141656288	-1.76524621044426	0.061168524396809	-28.8587345837027	3.93688549148626e-183	5.19443919990958e-180
ENST00000361436.10	16241.7321137526	-1.67692167879095	0.0590100160402709	-28.417577071095	1.22652437356474e-177	1.51042388189919e-174
ENST00000399075.6	10465.3321788616	-1.77903925010948	0.064984661251295	-27.3762948956516	5.25395184533318e-165	6.06568740543715e-162
ENST00000409320.7	14608.7592012251	-1.59422411520377	0.0594932356671303	-26.7967290285502	3.52768687562048e-158	3.83314305685067e-155
ENST00000644393.1	16392.7263199594	-1.61271487576288	0.0606837541714503	-26.5757268610387	1.29545213940659e-155	1.32942177328436e-152
ENST00000545215.5	28520.3735112903	-1.70775655715113	0.0643841348130187	-26.5244933726409	5.05834214102491e-155	4.91777347521117e-152
ENST00000276914.7	11197.0680344309	-1.95146259831371	0.0744445998626944	-26.2136219673823	1.85863090856333e-151	1.71663150714909e-148
ENST00000424325.6	31939.2594638207	-1.4024670589482	0.0542639345046937	-25.8452888046091	2.74867999989464e-147	2.41779128371685e-144
ENST00000556230.2	6088.51748570996	-1.8717783777029	0.0725025901005407	-25.8167104803741	5.75708082847272e-147	4.83385441197946e-144
ENST00000318607.10	27211.7619634033	-1.63056484909952	0.063669926935067	-25.6096547866693	1.19096572539176e-144	9.56500820845069e-142
ENST00000530721.5	9087.10715848385	-1.80874510230995	0.0708733140162534	-25.5208201763381	1.15803152195755e-143	8.91298261399995e-141
ENST00000261267.7	42350.3915747284	-1.75032735036616	0.0705032166947057	-24.8262055608818	4.67404235095551e-136	3.45355641227401e-133
ENST00000230050.4	23685.5313272951	-1.59863702203724	0.065091370981665	-24.5598917018901	3.39098376710994e-133	2.40916354407903e-130
ENST00000323851.13	16447.0137439099	-2.37203517563895	0.0967875146063411	-24.5076566464859	1.22406847807362e-132	8.37444182480591e-130
ENST00000396222.6	18208.1085249	-1.87158102089077	0.0767353761368013	-24.3900677251413	2.17995449892849e-131	1.43814712515025e-128
ENST00000263556.3	11477.6688197451	-1.71730202131045	0.0717466991222288	-23.9356241098259	1.30443995175973e-126	8.30883268582959e-124
ENST00000395686.8	7281.8557493641	-1.7836539292535	0.0749880535390105	-23.7858411450245	4.68036228487753e-125	2.88185507087526e-122
ENST00000234590.10	70647.2390973171	-1.57695677367997	0.0664916161727037	-23.7166257108869	2.42940483049267e-124	1.4476118073826e-121
ENST00000534599.5	8440.05886026127	-1.80961378887362	0.0765354304379372	-23.6441315939425	1.35635355024356e-123	7.82955086878098e-121
ENST00000227157.8	9098.87764743712	-1.47897373549806	0.0628934702060049	-23.5155371559836	2.82889022664244e-122	1.58349273534967e-119
ENST00000366607.5	12184.7974196683	-1.63208489125087	0.0701471548020204	-23.2665871603371	9.66512092565506e-120	5.25100334525589e-117
ENST00000225430.9	28065.3057809235	-1.33178892522868	0.0575987281546212	-23.1218460528079	2.79191423828375e-118	1.47349256598793e-115
