	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
ENST00000227157.8	8697.60962263897	-2.07101894317097	0.0581836659090033	-35.5945076821037	1.70371602029474e-277	3.35734278959282e-273
ENST00000577269.5	2079.19780398222	2.30236242224214	0.0987246887780806	23.3210400634185	2.71225049503575e-120	2.67238041275872e-116
ENST00000314191.7	14119.0341420443	-1.08111065162342	0.0515205584392026	-20.9840631463495	9.17124619617181e-98	6.02428591805872e-94
ENST00000366815.9	6972.26708277262	-1.17940282978719	0.0565518420100817	-20.855250472247	1.36581267105983e-96	6.72867612397627e-93
ENST00000350997.12	13309.7384976837	-1.22573724865423	0.0605906581164487	-20.2298058274676	5.35132596847542e-91	2.10906459069553e-87
ENST00000470472.5	1561.40842183135	1.57482705965746	0.07892148570548	19.9543514111534	1.37394147836487e-88	4.51248179544303e-85
ENST00000494282.6	1685.25323773767	-1.5019866786631	0.0784935177871673	-19.1351683681153	1.28662992453645e-81	3.62204704184505e-78
ENST00000298552.9	814.347273617455	2.06690011795029	0.109786767265981	18.8264958466515	4.58087983452648e-79	1.12838522523974e-75
ENST00000646045.2	796.215007775619	-2.44114879626734	0.129833020333192	-18.8022183417022	7.24230779913167e-79	1.58574352766321e-75
ENST00000402367.5	1125.52625010959	1.93492417364049	0.103630373474856	18.6714001769951	8.46053581697441e-78	1.66723318809298e-74
ENST00000463876.5	2616.22491319078	-1.26344737698826	0.0681602228231286	-18.5364326091894	1.0495706364346e-76	1.88025808741639e-73
ENST00000394434.7	4826.17928985895	-1.08149411096204	0.0611424202802103	-17.6881141767965	5.17795202698809e-70	8.50306022031895e-67
ENST00000595661.5	1126.64558388179	1.87768113461786	0.106544222109673	17.6234909546295	1.62650970398139e-69	2.46553847897364e-66
ENST00000294507.4	797.751961185262	-2.10661237118672	0.12117926480875	-17.3842643336008	1.08571551109959e-67	1.52822213298061e-64
ENST00000649764.2	1173.28369281205	-1.7370912503706	0.101062388363665	-17.1883059414726	3.24887349515649e-66	4.26815340637025e-63
ENST00000321728.12	2383.20110317116	-1.211484021682	0.0705518879496677	-17.1715322848097	4.33815104140437e-66	5.34297527636966e-63
ENST00000249750.9	4895.42148479714	-0.983690743289406	0.0585556857432468	-16.7992353057338	2.47210535255637e-63	2.70640600430422e-60
ENST00000269593.5	1179.27051989539	-1.63133608543164	0.0971044301756202	-16.7998111155305	2.44822382028602e-63	2.70640600430422e-60
ENST00000262982.3	4796.70233584969	-1.08890304824141	0.0648413082211869	-16.7933540842041	2.72972425204243e-63	2.83115505846043e-60
ENST00000550100.5	1212.48936779801	1.92409315760859	0.115579820345717	16.6473105067418	3.16510362611108e-62	3.11857660280725e-59
ENST00000275358.8	2204.8528405987	-1.24269911570416	0.0758712139511127	-16.3790593426499	2.69884709069234e-60	2.53254670329444e-57
ENST00000357115.9	3304.83351892908	-1.20592302904466	0.074204433670794	-16.2513608606557	2.18460801200594e-59	1.95681297657223e-56
ENST00000298510.4	1869.49960384768	-1.19508176378277	0.0737012654949058	-16.215213616181	3.93706359184971e-59	3.37320761482567e-56
ENST00000477442.6	1258.33944520034	1.46865086819807	0.0926608082818789	15.8497523972633	1.41135840326196e-56	1.15884286227834e-53
ENST00000512576.2	9927.12724278889	-0.894369430414353	0.0569913898539162	-15.6930622802296	1.6871623665762e-55	1.32988886383002e-52
ENST00000307365.4	7312.18931407812	-1.46875676752539	0.0963175791828971	-15.2491038498421	1.66908152740292e-52	1.26503540688469e-49
ENST00000556260.6	2044.1802076804	-1.12557989956156	0.073838104405592	-15.243889433818	1.80780643188724e-52	1.31943087210259e-49
ENST00000642379.1	17070.8881107709	-1.33811362932729	0.0878759725532557	-15.22729809353	2.33024383781934e-52	1.63999232385957e-49
ENST00000264218.7	3614.65748607198	-0.940370482320324	0.0619933435489728	-15.1688944084369	5.68259502367238e-52	3.86142129436165e-49
ENST00000372517.8	1618.15788389804	1.16132599004263	0.0774097935749834	15.002313485279	7.09041763027297e-51	4.65745899407197e-48
ENST00000590151.5	7298.6824796296	-0.888866048833579	0.0594431757688148	-14.9532059372221	1.48428074131209e-50	9.43523751235359e-48
ENST00000366922.3	3400.2158897193	-1.05510501676573	0.0706551084561188	-14.9331738330147	2.00491696723712e-50	1.23465292988671e-47
ENST00000268150.13	1755.9824305492	-1.12401791524994	0.0755741199160016	-14.8730533216828	4.93120814033552e-50	2.94467841252884e-47
ENST00000175506.8	3079.63722563313	-1.41600686134746	0.0959498360612743	-14.7577830194852	2.74145222389651e-49	1.58891345659131e-46
ENST00000261714.11	1929.98790087056	-1.05666449116539	0.0722277135788656	-14.629626756932	1.81781624261111e-48	1.02348248219699e-45
ENST00000371130.7	1740.10805687118	1.07076384946654	0.0732352628450446	14.6208780834463	2.06716932343052e-48	1.13154551909783e-45
ENST00000544301.7	6521.86381320097	-0.863850069622155	0.0592269898017781	-14.5854123688086	3.47813959550638e-48	1.85243834781213e-45
ENST00000265717.5	5052.05618507936	-1.10979834564332	0.0762309579620295	-14.558368087098	5.16767405829395e-48	2.67984697349317e-45
ENST00000487938.5	381.372349333613	2.31672265283878	0.160627699977844	14.4229336108176	3.7122224371593e-47	1.87571936786311e-44
ENST00000300651.11	3199.10473870806	0.921752971669089	0.0639415521987679	14.415555143293	4.13104154423785e-47	2.03515761676878e-44
ENST00000420536.1	527.495504415545	2.64433260487659	0.184860298609539	14.304491687866	2.05131137536857e-46	9.85930291780807e-44
ENST00000370995.6	9987.93492789199	-0.737916410404477	0.0519804248479375	-14.1960442332506	9.69317123142977e-46	4.54794362587036e-43
ENST00000396049.5	3085.86495089606	-1.03674537941798	0.0742194940657462	-13.9686398090992	2.42208312121195e-44	1.10998999968843e-41
ENST00000340541.4	2694.99262844139	-1.13422037368523	0.0812338406845287	-13.9624122671975	2.64333221819925e-44	1.18385237935988e-41
ENST00000380636.1	4705.0054340515	-0.906126436824058	0.0649260549778786	-13.9562836080644	2.8806819430345e-44	1.26148263043195e-41
ENST00000262030.8	22931.4421663929	-0.67900664184676	0.0487616575085623	-13.9250115057621	4.46469600469059e-44	1.91263694496593e-41
ENST00000233146.7	3226.21284580754	-0.857858301877872	0.0616473245120051	-13.9155804192413	5.09446843704212e-44	2.13599138341175e-41
ENST00000367048.5	2753.47268358118	-1.34934583969356	0.0973672036013654	-13.8583197399605	1.13295366800638e-43	4.65124687119453e-41
ENST00000359526.9	3181.69359026895	-0.835281415060055	0.0603059997129642	-13.8507183204939	1.25946267965421e-43	5.06509623780936e-41
ENST00000375759.8	8107.16005368661	0.801966379866874	0.0579922607464611	13.8288518078822	1.70723808930298e-43	6.72856675756092e-41
ENST00000369577.8	1882.00806693119	1.28150860837632	0.0927968324885421	13.8098313704247	2.22351471241105e-43	8.5914864554455e-41
ENST00000375011.4	1102.90203696356	-1.2339549179567	0.090808627650113	-13.588520715357	4.6845285978239e-42	1.77525616439842e-39
ENST00000253382.5	3196.14714108716	-1.24236990994455	0.0914419734699277	-13.5864293256217	4.82029096954401e-42	1.79223875180819e-39
ENST00000651537.1	1515.65751999516	-1.07980863142255	0.079511666939618	-13.5805055155311	5.22644688456105e-42	1.90726596865111e-39
ENST00000262428.5	2390.53504059927	-0.935518225721036	0.0691360135631069	-13.5315615915156	1.01837099398894e-41	3.6487306922811e-39
ENST00000366794.10	7733.97229884306	-0.771645228695966	0.0572072891683057	-13.4885823103025	1.82577545938596e-41	6.42477342904637e-39
ENST00000626650.3	1651.91346952985	0.991818230906038	0.0737416883732709	13.4498985958334	3.08294787428921e-41	1.06583457562707e-38
ENST00000374213.3	479.452764881157	-2.01259693601491	0.150365243811132	-13.3847216617615	7.42750897368537e-41	2.52356020405938e-38
ENST00000607016.2	4976.78874272143	-0.945221979815167	0.0710601857700673	-13.3017099458994	2.26234518658944e-40	7.55623292320875e-38
ENST00000314888.10	8669.48843096617	-0.736517897582921	0.0553930732610231	-13.2962093313058	2.43504072698974e-40	7.99748542767664e-38
ENST00000407818.8	3487.83017691768	-0.868484245435356	0.0655566730941028	-13.2478389223428	4.64383719708146e-40	1.50018780009323e-37
ENST00000241052.5	2481.01632430363	-0.933392814010966	0.0705368140410718	-13.232704463622	5.68059358033133e-40	1.80551253377434e-37
ENST00000262518.9	2380.61100684744	1.02886054372874	0.0778756054598171	13.2115896583253	7.521893878141e-40	2.35280064702613e-37
ENST00000440284.6	829.570776498987	-2.00917449295813	0.152320320093953	-13.190456084381	9.95809494032373e-40	3.06615967021905e-37
ENST00000449105.8	1007.54205018834	-1.55260814791339	0.117883771843112	-13.170669072073	1.29445410392443e-39	3.92438654952844e-37
ENST00000261366.10	3080.19005250475	-0.800866887595841	0.0615139850202229	-13.019265250537	9.50813894007621e-39	2.83889978716881e-36
ENST00000448257.6	1850.27063055306	-1.14113359142969	0.0878529248383749	-12.9891360308044	1.41009876504833e-38	4.14737406926005e-36
ENST00000296873.11	4232.83700747446	-0.984008077021588	0.0759972345396532	-12.9479458427946	2.41325355016283e-38	6.99346683228071e-36
ENST00000334828.6	6574.68840285358	-0.87033400286687	0.0674685109453905	-12.899854920043	4.50945346076589e-38	1.28787376663555e-35
ENST00000302759.11	6042.60491756651	-1.17220082713954	0.0910771984604992	-12.8704093555088	6.60511569702332e-38	1.85943442750774e-35
ENST00000209875.9	5981.50053670412	-0.888150101659999	0.0690332896712288	-12.8655335112931	7.03544643278749e-38	1.95268320288043e-35
ENST00000643927.1	6252.7062554646	-0.992456030516656	0.0773548969727871	-12.8299056602169	1.11499860980873e-37	3.05168925067927e-35
ENST00000306721.8	1365.24335238018	-1.16864297074909	0.0917698955878234	-12.7344916681387	3.80315008796138e-37	1.02664213196393e-34
ENST00000621751.4	249.261903801384	-2.78632659528727	0.218985445128589	-12.7237981211542	4.36134032164175e-37	1.16141314024692e-34
ENST00000257430.9	1143.42559033468	1.309226080544	0.103044299317302	12.7054683201108	5.51383530599971e-37	1.4487418472004e-34
ENST00000425053.5	3702.55453039873	0.900336392119201	0.0712172976868801	12.6421027104636	1.2370095879586e-36	3.20743565004107e-34
ENST00000377705.6	1663.05201725457	1.15646719006756	0.0918531622080436	12.5903906002519	2.38490306937481e-36	6.10349349157143e-34
ENST00000360566.6	2839.50125728895	-0.782922396228611	0.0623420869378943	-12.5584887302307	3.57088171063369e-36	9.02151217817276e-34
ENST00000490882.5	2151.76615879336	-0.852358655952861	0.0680508259062765	-12.5253241911682	5.42691476574784e-36	1.35370610599781e-33
ENST00000196371.10	1520.80634677115	-1.10402755886076	0.0881648217987355	-12.5223137339409	5.63676667992519e-36	1.38847655243257e-33
ENST00000309890.11	1434.63502538875	-1.14770162111404	0.0919722356741268	-12.4787835448574	9.74642861727024e-36	2.37114965841886e-33
ENST00000427980.7	1014.34780562003	1.11825007300469	0.0897232262835791	12.4633288316043	1.18326341429259e-35	2.84358400512801e-33
ENST00000338179.6	4308.3197744638	-0.751171960642002	0.0604481125862786	-12.4267231597983	1.87149830624191e-35	4.44334284612086e-33
ENST00000424877.5	1473.81366515879	1.08761315761617	0.0876401489424357	12.4099875541123	2.30688644562328e-35	5.41184574969672e-33
