	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
ENST00000371470.8	875.403879896786	-3.50245979335282	0.162197564134742	-21.5937878724444	2.05463251813422e-103	3.45137170396187e-99
ENST00000350997.12	20707.1352374788	-1.01030078304116	0.0483111155184909	-20.9123878055449	4.13036348767391e-97	3.46909229329732e-93
ENST00000646045.2	1096.1207073184	-2.48727556595087	0.129955461616564	-19.1394461995728	1.18523116793164e-81	6.63650438630523e-78
ENST00000373316.5	26477.401732206	-0.896465224969745	0.0512818931846509	-17.4811257794606	1.99520724631836e-68	6.70309826473115e-65
ENST00000375651.7	5106.06669007988	1.28970405395424	0.0737395233623166	17.489997156848	1.70765797169509e-68	6.70309826473115e-65
ENST00000440284.6	1027.1779725762	-2.48402414180885	0.147216937904486	-16.8732224509417	7.0824981091553e-64	1.98286338729318e-60
ENST00000175506.8	7268.15864894913	-1.18745643549162	0.0726385847360055	-16.3474610609121	4.53485211649926e-60	1.08823494075649e-56
ENST00000357115.9	4341.71456536916	-1.16613845184117	0.0735089870034457	-15.8638895647754	1.12693044488105e-56	2.36627220163899e-53
ENST00000339697.5	2504.24866644418	-1.37041048485548	0.0885774627287668	-15.4713224181168	5.41824427255269e-54	1.01128519211489e-50
ENST00000374213.3	678.422246979728	-2.53995866294571	0.16590696063137	-15.309536461157	6.60328566842291e-53	1.10921992658168e-49
ENST00000525954.5	11139.442579685	-0.993786267634504	0.0667115263661632	-14.8967700451022	3.45901342768204e-50	5.28222795983662e-47
ENST00000314191.7	18058.9531515101	-0.863222938950767	0.0611098435220287	-14.1257592754201	2.63543944424441e-45	3.68917598203479e-42
ENST00000253382.5	3986.22202221655	-1.20837088524228	0.0858270745007725	-14.0791340293371	5.10312821842839e-45	6.59402675485847e-42
ENST00000294507.4	756.865514870169	-2.13508196415405	0.152480912093237	-14.0022900889294	1.50927750211549e-44	1.81091739146685e-41
ENST00000423485.6	20262.8592944199	-0.939730588679464	0.067987247665998	-13.8221596099329	1.87363246885956e-43	2.09821854746019e-40
ENST00000369534.8	9216.33729084629	-0.777227374540627	0.0570289072044014	-13.6286562839949	2.7051533247097e-42	2.84007284677959e-39
ENST00000321728.12	2828.7367729002	-1.11013661818062	0.0830155695490531	-13.3726314739629	8.7393438538778e-41	8.63549988573172e-38
ENST00000487938.5	309.762825843899	3.49774359081884	0.262341227701405	13.3328017920231	1.49187662821295e-40	1.39225242226228e-37
ENST00000367048.5	4504.14677685385	-0.923954028077622	0.0695485884644237	-13.2850148145027	2.82802467224475e-40	2.50027149707196e-37
ENST00000276204.10	2827.59188424903	-1.10271359622806	0.0834944383842337	-13.2070305228413	7.99153042816993e-40	6.71208640661992e-37
ENST00000289416.10	3365.99005783379	-1.47575106228933	0.113404539232395	-13.013156900758	1.02997501444344e-38	8.23881918696234e-36
ENST00000545215.5	29450.6340448081	-0.925017325168162	0.0718133364881467	-12.8808570998625	5.76912949107805e-38	4.40499259959678e-35
