	tx_id	baseMean	mRNA_log2FC	lfcSE	stat	pvalue	padj	dataset	has dEJC	gene id	gene name	minus logp
0	ENST00000298295.4	4557.85971783966	-3.19480824963899	0.0853707245421298	-37.4227613362046	1.6664943022234387e-306	3.034519474918668e-302	HEPG2_EIF4A3	False	ENSG00000165507.9	DEPP1	301.5179100709523
1	ENST00000261267.7	36709.087560872096	-2.5201373112947203	0.0674870664612836	-37.342522700116	3.3528565025157086e-305	3.052608202715428e-301	HEPG2_EIF4A3	False	ENSG00000090382.7	LYZ	300.515328933113
2	ENST00000373316.5	25380.1511656213	-1.8355180106713997	0.0547077639411964	-33.551325779725396	8.610936406038474e-247	5.226551367251817e-243	HEPG2_EIF4A3	False	ENSG00000102144.15	PGK1	242.28178477694237
3	ENST00000225430.9	23927.8513849727	-2.03295837985903	0.0612776531519473	-33.176178839910804	2.3751396700370885e-241	1.0812229562926294e-237	HEPG2_EIF4A3	False	ENSG00000108298.11	RPL19	236.9660847420286
4	ENST00000361436.10	14308.8348713186	-2.26632895054143	0.0685731376404053	-33.0498067979034	1.5655732345812593e-239	5.701504605698016e-236	HEPG2_EIF4A3	False	ENSG00000197958.13	RPL12	235.24401052051624
5	ENST00000630287.2	3409.2936893432	-3.0004797181723397	0.0934934639814724	-32.0929355956578	5.5321558739039775e-226	1.678917105131959e-222	HEPG2_EIF4A3	True	ENSG00000117394.23	SLC2A1	221.7749707461922
6	ENST00000377482.10	15624.4646799196	-2.27208440944548	0.0729839538777998	-31.131286929860302	9.089119147303426e-213	2.3643395793321192e-209	HEPG2_EIF4A3	False	ENSG00000116285.13	ERRFI1	208.6262901475713
7	ENST00000409320.7	13191.529088025	-1.96857068026607	0.0634675701897722	-31.0169536092199	3.1847919565108186e-211	7.248984592013187e-208	HEPG2_EIF4A3	False	ENSG00000071082.11	RPL31	207.13972282335587
8	ENST00000582401.6	5486.77630080101	-2.28040869458571	0.07500823509552	-30.402111070627104	5.151112434542097e-203	1.0421845146730796e-199	HEPG2_EIF4A3	False	ENSG00000265972.6	TXNIP	198.98205538409766
9	ENST00000212355.9	4959.26623235216	-2.76577239734353	0.0917248085023667	-30.152937275112098	9.816207898923516e-200	1.7874332963149791e-196	HEPG2_EIF4A3	False	ENSG00000069702.11	TGFBR3	195.7477701562865
10	ENST00000379270.4	5523.53580497109	-2.19143426760903	0.0733069879312163	-29.8939341180577	2.359540420262329e-196	3.905897410232428e-193	HEPG2_EIF4A3	False	ENSG00000130066.16	SAT1	192.40827916779548
