	tx_id	baseMean	mRNA_log2FC	lfcSE	stat	pvalue	padj	dataset	has dEJC	gene id	gene name	minus logp
1	ENST00000531975.5	3459.23827810576	-5.528959318117519	0.15719109674788	-35.173489036630805	5.086062881770577e-271	4.697487677603308e-267	HEPG2_MAGOH	True	ENSG00000161016.17	RPL8	266.32813435046234
2	ENST00000223095.5	35774.5444704312	-3.0485569795311998	0.0868864675301089	-35.086671908658104	1.0764771955259095e-269	6.628228918584856e-266	HEPG2_MAGOH	False	ENSG00000106366.9	SERPINE1	265.1786025008017
3	ENST00000373316.5	26119.4531214608	-1.9359561799146296	0.0559882373273523	-34.5779090810713	5.427915388295428e-262	2.5066113263148285e-258	HEPG2_MAGOH	False	ENSG00000102144.15	PGK1	257.6009130022695
4	ENST00000075120.12	6374.93911854683	-3.07950358331486	0.0912664891223173	-33.7418872242104	1.4060771312741293e-249	5.194611353779146e-246	HEPG2_MAGOH	False	ENSG00000059804.16	SLC2A3	245.28444693958377
5	ENST00000379270.4	5620.40928346303	-2.4158940546799	0.0728659291471081	-33.1553317573496	4.745007050406008e-241	1.4608295039183296e-237	HEPG2_MAGOH	False	ENSG00000130066.16	SAT1	236.83540046841085
6	ENST00000396651.8	25956.366499304102	-1.85720779039199	0.0561333537386058	-33.0856374454371	4.782281132866108e-240	1.2619756726614692e-236	HEPG2_MAGOH	False	ENSG00000142937.12	RPS8	235.89894901698622
7	ENST00000368636.8	9451.95261991461	-2.0043819123341	0.0643773814803921	-31.1348779065298	8.126779514313575e-213	1.8764733898549992e-209	HEPG2_MAGOH	False	ENSG00000176171.11	BNIP3	208.72665758990854
8	ENST00000245787.9	7359.28405366823	-2.1611807620333896	0.0713173043607762	-30.303735978305102	1.0235205587804395e-201	2.1007190846435896e-198	HEPG2_MAGOH	False	ENSG00000125629.15	INSIG2	197.67763201905808
9	ENST00000256689.10	47047.373896079196	-1.70269265608309	0.0585307282076115	-29.0905770050143	4.723774666619697e-186	8.725756564179916e-183	HEPG2_MAGOH	False	ENSG00000134294.14	SLC38A2	182.05919690735973
10	ENST00000290573.7	6029.547372956271	-2.9332626003209596	0.10107033514949999	-29.0219934066921	3.4734992341958176e-185	5.832952532187748e-182	HEPG2_MAGOH	False	ENSG00000159399.10	HK2	181.23411155778783
