	tx_id	baseMean	mRNA_log2FC	lfcSE	stat	pvalue	padj	dataset	has dEJC	gene id	gene name	minus logp
0	ENST00000227157.8	8697.609622638969	-2.0710189431709702	0.0581836659090033	-35.5945076821037	1.7037160202947388e-277	3.357342789592818e-273	K562_EIF4A3	False	ENSG00000134333.14	LDHA	272.4740043143885
1	ENST00000577269.5	2079.1978039822197	2.3023624222421404	0.0987246887780806	23.321040063418497	2.7122504950357496e-120	2.672380412758719e-116	K562_EIF4A3	False	ENSG00000161960.15	EIF4A1	115.57310172007278
2	ENST00000314191.7	14119.0341420443	-1.08111065162342	0.0515205584392026	-20.9840631463495	9.171246196171809e-98	6.024285918058719e-94	K562_EIF4A3	False	ENSG00000253729.8	PRKDC	93.22009442430927
3	ENST00000366815.9	6972.267082772621	-1.17940282978719	0.0565518420100817	-20.855250472247	1.3658126710598298e-96	6.728676123976269e-93	K562_EIF4A3	False	ENSG00000163041.12	H3-3A	92.17207037539109
4	ENST00000350997.12	13309.738497683702	-1.22573724865423	0.0605906581164487	-20.2298058274676	5.351325968475419e-91	2.10906459069553e-87	K562_EIF4A3	False	ENSG00000149485.19	FADS1	86.67591011966634
5	ENST00000470472.5	1561.40842183135	1.5748270596574598	0.07892148570548	19.954351411153397	1.37394147836487e-88	4.5124817954430286e-85	K562_EIF4A3	True	ENSG00000116560.11	SFPQ	84.3455845371427
6	ENST00000494282.6	1685.25323773767	-1.5019866786631	0.0784935177871673	-19.135168368115302	1.28662992453645e-81	3.6220470418450495e-78	K562_EIF4A3	False	ENSG00000146416.19	AIG1	77.44104591352469
7	ENST00000298552.9	814.347273617455	2.06690011795029	0.10978676726598101	18.8264958466515	4.5808798345264785e-79	1.1283852252397399e-75	K562_EIF4A3	False	ENSG00000165699.15	TSC1	74.9475426090098
8	ENST00000646045.2	796.215007775619	-2.4411487962673397	0.129833020333192	-18.8022183417022	7.242307799131668e-79	1.5857435276632097e-75	K562_EIF4A3	False	ENSG00000082074.18	FYB1	74.79976705253392
9	ENST00000402367.5	1125.52625010959	1.9349241736404899	0.103630373474856	18.6714001769951	8.460535816974408e-78	1.66723318809298e-74	K562_EIF4A3	False	ENSG00000170889.14	RPS9	73.77800365318971
10	ENST00000463876.5	2616.22491319078	-1.26344737698826	0.0681602228231286	-18.536432609189397	1.0495706364345997e-76	1.8802580874163895e-73	K562_EIF4A3	False	ENSG00000187091.13	PLCD1	72.72578253464701
11	ENST00000394434.7	4826.17928985895	-1.08149411096204	0.0611424202802103	-17.6881141767965	5.177952026988089e-70	8.50306022031895e-67	K562_EIF4A3	False	ENSG00000133706.19	LARS1	66.07042474515494
12	ENST00000595661.5	1126.6455838817901	1.8776811346178601	0.106544222109673	17.6234909546295	1.62650970398139e-69	2.46553847897364e-66	K562_EIF4A3	False	ENSG00000142528.16	ZNF473	65.60808821516669
