	tx_id	baseMean	mRNA_log2FC	lfcSE	stat	pvalue	padj	dataset	has dEJC	gene id	gene name	minus logp
0	ENST00000371470.8	875.4038798967861	-3.50245979335282	0.162197564134742	-21.593787872444402	2.0546325181342197e-103	3.4513717039618692e-99	K562_MAGOH	False	ENSG00000162385.11	MAGOH	98.46200826577761
1	ENST00000350997.12	20707.1352374788	-1.01030078304116	0.0483111155184909	-20.9123878055449	4.1303634876739094e-97	3.469092293297319e-93	K562_MAGOH	False	ENSG00000149485.19	FADS1	92.4597841458378
2	ENST00000646045.2	1096.1207073184	-2.48727556595087	0.129955461616564	-19.139446199572802	1.1852311679316397e-81	6.636504386305229e-78	K562_MAGOH	False	ENSG00000082074.18	FYB1	77.17806061422924
3	ENST00000373316.5	26477.401732206003	-0.896465224969745	0.0512818931846509	-17.481125779460598	1.9952072463183597e-68	6.703098264731149e-65	K562_MAGOH	False	ENSG00000102144.15	PGK1	64.17372441397674
4	ENST00000375651.7	5106.06669007988	1.28970405395424	0.0737395233623166	17.489997156848	1.7076579716950896e-68	6.703098264731149e-65	K562_MAGOH	False	ENSG00000204389.10	HSPA1A	64.17372441397674
5	ENST00000440284.6	1027.1779725761999	-2.4840241418088502	0.14721693790448598	-16.8732224509417	7.082498109155299e-64	1.9828633872931796e-60	K562_MAGOH	False	ENSG00000005187.12	ACSM3	59.7027072062125
6	ENST00000175506.8	7268.158648949129	-1.1874564354916202	0.0726385847360055	-16.3474610609121	4.534852116499259e-60	1.0882349407564897e-56	K562_MAGOH	False	ENSG00000070669.17	ASNS	55.96327733399515
7	ENST00000357115.9	4341.7145653691605	-1.16613845184117	0.0735089870034457	-15.8638895647754	1.1269304448810498e-56	2.3662722016389893e-53	K562_MAGOH	False	ENSG00000198589.14	LRBA	52.625935298224526
8	ENST00000339697.5	2504.24866644418	-1.37041048485548	0.0885774627287668	-15.4713224181168	5.418244272552689e-54	1.0112851921148898e-50	K562_MAGOH	False	ENSG00000111897.7	SERINC1	49.9951263519306
9	ENST00000374213.3	678.422246979728	-2.53995866294571	0.16590696063137	-15.309536461157	6.603285668422909e-53	1.1092199265816803e-49	K562_MAGOH	False	ENSG00000169442.9	CD52	48.95498233714075
10	ENST00000525954.5	11139.442579685	-0.993786267634504	0.0667115263661632	-14.896770045102198	3.4590134276820396e-50	5.28222795983662e-47	K562_MAGOH	False	ENSG00000079459.13	FDFT1	46.277182860311434
11	ENST00000314191.7	18058.9531515101	-0.8632229389507671	0.0611098435220287	-14.125759275420101	2.6354394442444097e-45	3.6891759820347896e-42	K562_MAGOH	False	ENSG00000253729.8	PRKDC	41.43307062745042
12	ENST00000253382.5	3986.22202221655	-1.20837088524228	0.0858270745007725	-14.079134029337098	5.10312821842839e-45	6.594026754858469e-42	K562_MAGOH	False	ENSG00000131069.20	ACSS2	41.1808492950661
13	ENST00000294507.4	756.865514870169	-2.13508196415405	0.152480912093237	-14.002290088929401	1.5092775021154898e-44	1.81091739146685e-41	K562_MAGOH	False	ENSG00000162511.8	LAPTM5	40.74210136042496
14	ENST00000423485.6	20262.8592944199	-0.9397305886794641	0.06798724766599801	-13.8221596099329	1.87363246885956e-43	2.0982185474601897e-40	K562_MAGOH	False	ENSG00000131747.15	TOP2A	39.6781492782908
15	ENST00000369534.8	9216.33729084629	-0.777227374540627	0.0570289072044014	-13.628656283994902	2.7051533247097e-42	2.8400728467795897e-39	K562_MAGOH	False	ENSG00000130830.15	MPP1	38.54667052032315
16	ENST00000321728.12	2828.7367729002003	-1.11013661818062	0.0830155695490531	-13.372631473962901	8.7393438538778e-41	8.63549988573172e-38	K562_MAGOH	False	ENSG00000166501.14	PRKCB	37.063712517235935
17	ENST00000487938.5	309.762825843899	3.4977435908188395	0.262341227701405	13.332801792023098	1.49187662821295e-40	1.3922524222622799e-37	K562_MAGOH	True	ENSG00000026025.16	VIM	36.856282017845295
18	ENST00000367048.5	4504.1467768538505	-0.9239540280776221	0.0695485884644237	-13.285014814502698	2.82802467224475e-40	2.50027149707196e-37	K562_MAGOH	False	ENSG00000120437.9	ACAT2	36.60201283001666
19	ENST00000276204.10	2827.59188424903	-1.10271359622806	0.0834944383842337	-13.2070305228413	7.99153042816993e-40	6.712086406619919e-37	K562_MAGOH	False	ENSG00000147251.15	DOCK11	36.17314246134552
20	ENST00000289416.10	3365.9900578337897	-1.4757510622893302	0.11340453923239502	-13.013156900758	1.02997501444344e-38	8.238819186962339e-36	K562_MAGOH	False	ENSG00000005187.12	ACSM3	35.084135028270616
21	ENST00000545215.5	29450.6340448081	-0.925017325168162	0.0718133364881467	-12.8808570998625	5.76912949107805e-38	4.404992599596779e-35	K562_MAGOH	True	ENSG00000134333.14	LDHA	34.35605481686759
22	ENST00000075120.12	7259.763277268771	-0.7856049281378609	0.0610518292238349	-12.867836035798199	6.82886470063509e-38	4.9874464887508e-35	K562_MAGOH	False	ENSG00000059804.16	SLC2A3	34.30212175090718
23	ENST00000321765.10	5957.63615670906	-0.8367064417314929	0.0667955637346506	-12.5263774261321	5.355344743229379e-36	3.7482950415319605e-33	K562_MAGOH	False	ENSG00000076382.17	SPAG5	32.42616623158731
24	ENST00000302759.11	8886.25562503755	-0.8241542623459042	0.0664439442370245	-12.4037528447425	2.4936516947152393e-35	1.6755344467130602e-32	K562_MAGOH	False	ENSG00000169679.15	BUB1	31.775846639232093
25	ENST00000398576.6	10780.9737525324	-0.7229818070250571	0.0587274899995842	-12.310790177311802	7.92435236166724e-35	5.11974119120332e-32	K562_MAGOH	False	ENSG00000136167.14	LCP1	31.290751992554082
26	ENST00000602786.5	1370.0262954959699	1.6035938027251797	0.13065841011243698	12.273177067937802	1.26202298094794e-34	7.851652605171651e-32	K562_MAGOH	True	ENSG00000120694.20	HSPH1	31.10503892392106
27	ENST00000648608.1	1431.16758721446	-1.40404471979855	0.117030180235245	-11.997287511445698	3.6713207004069995e-33	2.20253018305131e-30	K562_MAGOH	False	ENSG00000143119.14	CD53	29.65707813138683
28	ENST00000293373.11	1493.3201205914902	-1.32059638978518	0.11170550604798701	-11.822124410034599	3.00000756270146e-32	1.7377285185606602e-29	K562_MAGOH	False	ENSG00000123338.13	NCKAP1L	28.7600180714434
29	ENST00000494282.6	2858.49295344488	-1.1919297862303702	0.101935752043391	-11.692951318228399	1.3848893662366198e-31	7.754457191347579e-29	K562_MAGOH	False	ENSG00000146416.19	AIG1	28.110448597212475
30	ENST00000393820.2	6866.81554941529	0.7507355855685021	0.064547294510369	11.6307831530863	2.8744817257982103e-31	1.55759819451479e-28	K562_MAGOH	False	ENSG00000181163.13	NPM1	27.807544564898855
31	ENST00000342741.6	2140.47923847297	-1.07416550338915	0.0924697424252905	-11.6163998646044	3.40170782306318e-31	1.78568400036923e-28	K562_MAGOH	False	ENSG00000143627.19	PKLR	27.748195392613273
32	ENST00000415913.5	3813.0326499095	-0.943207125007146	0.0814021122416602	-11.587010447677601	4.79580626624231e-31	2.44121071697995e-28	K562_MAGOH	False	ENSG00000138413.13	IDH1	27.612394732146935
33	ENST00000402367.5	712.7611548130091	2.0646896416174902	0.17997574424151896	11.472043915244301	1.8230180477116497e-30	9.006781519253052e-28	K562_MAGOH	False	ENSG00000170889.14	RPS9	27.045430371966315
34	ENST00000496166.6	1640.45590178108	-1.1880368372656	0.10449368776756099	-11.3694603248026	5.9353422361558294e-30	2.8486251109412997e-27	K562_MAGOH	False	ENSG00000105851.11	PIK3CG	26.545364701677467
35	ENST00000260731.5	2908.27776254025	-1.03068183879441	0.0909314371499026	-11.334714055990501	8.832007958472038e-30	4.12111304684481e-27	K562_MAGOH	False	ENSG00000138160.6	KIF11	26.384985472117602
36	ENST00000292896.3	25409.660028040096	-0.7035999188034371	0.0622079258316732	-11.3104545666301	1.16484472579623e-29	5.2883950551148896e-27	K562_MAGOH	False	ENSG00000213931.7	HBE1	26.276676109526964
37	ENST00000253039.9	13784.384404087801	-0.673867967772471	0.0598424057818109	-11.260709842272	2.0509993136933798e-29	9.06649643984772e-27	K562_MAGOH	False	ENSG00000130741.11	EIF2S3	26.042560504648197
38	ENST00000373509.6	14595.1271250604	-0.994843811788982	0.088739621780113	-11.2108187056972	3.60840149386492e-29	1.55420328958828e-26	K562_MAGOH	False	ENSG00000137193.14	PIM1	25.808492176157905
39	ENST00000211998.10	10803.5703783728	-0.635808350601209	0.0570405426310577	-11.146604174396801	7.439149317492991e-29	3.12407075588118e-26	K562_MAGOH	False	ENSG00000035403.18	VCL	25.50527913851408
40	ENST00000610726.4	17192.0832453672	-0.6441245657288929	0.0580100133020246	-11.1036789868554	1.2038426253171999e-28	4.9322313219703097e-26	K562_MAGOH	False	ENSG00000009307.16	CSDE1	25.306956563159154
41	ENST00000509152.3	4599.400764817489	-0.805864248529933	0.0726110733853242	-11.0983657307125	1.27758600162203e-28	5.10973563220162e-26	K562_MAGOH	False	ENSG00000272602.6	ZNF595	25.291601568837123
42	ENST00000325083.12	4820.43264133443	-0.878249766844897	0.0795419193985055	-11.0413449095295	2.41392675479325e-28	9.430032936515581e-26	K562_MAGOH	False	ENSG00000078674.17	PCM1	25.02548679038865
43	ENST00000643927.1	9637.009275931	-0.6882860046307551	0.0625647503488411	-11.0011787914615	3.7716887067011004e-28	1.4399278839810197e-25	K562_MAGOH	False	ENSG00000166501.14	PRKCB	24.841659258164036
44	ENST00000332707.10	10188.711059421601	-0.7267960136382241	0.0661494357939997	-10.9871838650535	4.40455085352423e-28	1.61941634333301e-25	K562_MAGOH	False	ENSG00000184575.12	XPOT	24.79064148208866
45	ENST00000521400.6	1171.50742115081	-1.3281781132383301	0.12089107140620402	-10.9865691302838	4.434644111996571e-28	1.61941634333301e-25	K562_MAGOH	False	ENSG00000120915.14	EPHX2	24.79064148208866
46	ENST00000607016.2	7271.9771000995	-0.711670054090533	0.0650746153105058	-10.9362160758811	7.736173470358799e-28	2.76494131819334e-25	K562_MAGOH	False	ENSG00000272325.2	NUDT3	24.558314081522123
47	ENST00000399878.8	1856.52901666703	-1.06373186666613	0.0974665225615199	-10.9138177777371	9.900904883191159e-28	3.46490417141344e-25	K562_MAGOH	False	ENSG00000091490.11	SEL1L3	24.460308772134958
48	ENST00000253122.10	8263.01572856002	-1.03930988741556	0.0958123355521492	-10.8473494715081	2.05292342809834e-27	7.03775668269305e-25	K562_MAGOH	False	ENSG00000130821.16	SLC6A8	24.152565752162722
49	ENST00000262030.8	31216.960026278703	-0.541002099114552	0.0501999167669049	-10.776952113817401	4.4229891689617496e-27	1.4859474412043898e-24	K562_MAGOH	False	ENSG00000110955.9	ATP5F1B	23.827996551543535
50	ENST00000520908.7	960.720627829572	-1.46660097422569	0.136460370489765	-10.7474497464866	6.092277827194179e-27	2.00662907727859e-24	K562_MAGOH	False	ENSG00000134516.18	DOCK2	23.697532898852227
51	ENST00000568685.1	4816.72355867192	0.8285262249614699	0.0774043644141938	10.703869623268199	9.761470237061358e-27	3.1533303277337792e-24	K562_MAGOH	False	ENSG00000089280.19	FUS	23.501230532265836
52	ENST00000556260.6	2819.94038210355	-0.883787389279979	0.0828812477761594	-10.6632973440127	1.5114192296580097e-26	4.7903434376972196e-24	K562_MAGOH	False	ENSG00000078304.19	PPP2R5C	23.319633349268113
53	ENST00000595661.5	1412.8724964206601	1.4309659010711002	0.134409618594965	10.646305792915198	1.81422522270738e-26	5.643584313155299e-24	K562_MAGOH	False	ENSG00000142528.16	ZNF473	23.248444982364767
54	ENST00000443617.7	5225.1920639629	-0.702384291924642	0.0665950632173154	-10.5470925019261	5.23933632670132e-26	1.6001885748350697e-23	K562_MAGOH	False	ENSG00000103657.14	HERC1	22.795828834728752
55	ENST00000251595.11	2606.35048414142	1.45880998464881	0.138693347915908	10.518240467692198	7.11905993817029e-26	2.1354637293104398e-23	K562_MAGOH	False	ENSG00000188536.13	HBA2	22.670507800633366
56	ENST00000380636.1	8406.13308146044	-0.67594334135416	0.0642896077138766	-10.5140374220741	7.44370159652688e-26	2.1936719196220798e-23	K562_MAGOH	False	ENSG00000205542.11	TMSB4X	22.658828323959103
57	ENST00000352732.10	3431.67952961904	-0.9151954542655041	0.0872364844345727	-10.490971297128599	9.504624326330939e-26	2.7527358523053e-23	K562_MAGOH	False	ENSG00000140526.18	ABHD2	22.560235460742557
58	ENST00000396222.6	18038.9342981245	-0.8242303125410091	0.0788726325532147	-10.450143298880098	1.46304002646202e-25	4.1654485363574703e-23	K562_MAGOH	False	ENSG00000134333.14	LDHA	22.380338226819806
59	ENST00000438032.6	8608.58641564853	-0.713801296056727	0.0688343083569831	-10.369847727021	3.4006621885502e-25	9.520720573877701e-23	K562_MAGOH	False	ENSG00000127483.19	HP1BP3	22.021330180878532
60	ENST00000370355.3	34192.601324934905	-0.497360483156226	0.0481800560554355	-10.3229536010495	5.54894062184889e-25	1.5280508945216e-22	K562_MAGOH	False	ENSG00000099194.6	SCD	21.81586218054973
61	ENST00000334828.6	8651.838690646191	-0.602453194029473	0.0587640042771587	-10.2520786566555	1.15825443015331e-24	3.1381222447927998e-22	K562_MAGOH	False	ENSG00000171314.9	PGAM1	21.50333014258309
62	ENST00000394434.7	7630.550977764809	-0.8296621494731009	0.0816884341879646	-10.1564212574335	3.10256268127443e-24	8.272515542864739e-22	K562_MAGOH	False	ENSG00000133706.19	LARS1	21.082362408190583
63	ENST00000397007.8	769.451960006246	1.5733508603942998	0.155574470903996	10.1131686404077	4.829646445590679e-24	1.26763126551613e-21	K562_MAGOH	False	ENSG00000110713.17	NUP98	20.897007057684895
64	ENST00000264218.7	4765.87707717711	-0.922625109150246	0.0912736011073705	-10.1083456547848	5.073370606986769e-24	1.3111150685563698e-21	K562_MAGOH	False	ENSG00000109255.11	NMU	20.882359191264857
65	ENST00000510678.5	4007.4359596199797	0.7667665757176179	0.0761650145459059	10.067175596158698	7.71621354349643e-24	1.96389325914626e-21	K562_MAGOH	True	ENSG00000169045.17	HNRNPH1	20.70688212053254
66	ENST00000375011.4	1660.47336057793	-1.0846962747928102	0.10875359230147601	-9.97388915472256	1.98308012752666e-23	4.971907460028779e-21	K562_MAGOH	False	ENSG00000119514.7	GALNT12	20.303476963291224
67	ENST00000493591.6	4633.16318257873	-1.20081515359185	0.12108626468122599	-9.917022023539461	3.51074591999902e-23	8.67257499472699e-21	K562_MAGOH	True	ENSG00000156515.23	HK1	20.0618519359765
68	ENST00000249923.7	8016.3026168999495	-0.7689325908105141	0.0777102918539136	-9.8948617032094	4.3821567641998395e-23	1.0668328887685399e-20	K562_MAGOH	False	ENSG00000129083.12	COPB1	19.971903604164645
69	ENST00000199389.11	9000.70781771205	-0.605615563601482	0.0613936243102254	-9.864469973971119	5.93470493196084e-23	1.42415962067255e-20	K562_MAGOH	False	ENSG00000086232.13	EIF2AK1	19.84644133198266
70	ENST00000572621.5	9344.447336715759	-0.70596333847778	0.0722304939804732	-9.77375758593912	1.45936803394315e-22	3.45274144143339e-20	K562_MAGOH	False	ENSG00000174231.17	PRPF8	19.461835942578162
71	ENST00000221566.7	1802.34602266453	1.21734658806344	0.124628576498964	9.76779661824636	1.54781567908103e-22	3.61113996905599e-20	K562_MAGOH	False	ENSG00000104969.10	SGTA	19.44235567783998
72	ENST00000264657.9	5663.063780959499	-0.654004085191515	0.0669654390565316	-9.766292798280778	1.57095461962034e-22	3.61491721923046e-20	K562_MAGOH	False	ENSG00000168610.14	STAT3	19.441901643498923
73	ENST00000262293.9	3340.5831667051	-0.756573451462505	0.0775374797588895	-9.75751925153029	1.7129393655519398e-22	3.88837235980291e-20	K562_MAGOH	False	ENSG00000068489.13	PRR11	19.410232152679818
74	ENST00000250617.7	1020.93159361237	-1.23496299604652	0.126936012321638	-9.729019948391722	2.26767172606624e-22	5.07897995392809e-20	K562_MAGOH	False	ENSG00000129675.16	ARHGEF6	19.294223501271734
75	ENST00000548553.1	1467.9902366509698	-1.15482194989716	0.12013527938770299	-9.6126796040511	7.068506870068049e-22	1.56232603162373e-19	K562_MAGOH	False	ENSG00000185432.12	METTL7A	18.806228330919698
76	ENST00000614558.2	1499.9699133115303	1.0855633903028101	0.113563665982536	9.559073149943462	1.1881597505955301e-21	2.5920399338316396e-19	K562_MAGOH	False	ENSG00000165175.15	MID1IP1	18.58635831186428
77	ENST00000366769.7	4279.1903173582705	-0.726228496817976	0.0760979067975092	-9.54334392863677	1.38299483005042e-21	2.97840348143423e-19	K562_MAGOH	False	ENSG00000143776.18	CDC42BPA	18.526016469145695
78	ENST00000287936.9	7905.70542997157	-0.708603353569323	0.0745023359556838	-9.51115618697944	1.88555051536453e-21	4.0093009565940996e-19	K562_MAGOH	False	ENSG00000113161.16	HMGCR	18.39693134238196
79	ENST00000340828.7	9488.982382406	-0.8488258617550122	0.0894255271423337	-9.49198611268997	2.26673579041363e-21	4.75957847592102e-19	K562_MAGOH	False	ENSG00000113328.19	CCNG1	18.322431508138266
80	ENST00000529230.6	12226.9019320004	-0.542580296613604	0.0572028595965505	-9.485195328352491	2.4192955193737197e-21	5.01720075733824e-19	K562_MAGOH	False	ENSG00000175216.15	CKAP5	18.299538520845914
81	ENST00000256495.4	5349.4952757443	-1.02611164584812	0.108216403957968	-9.48203422326502	2.4937344971931397e-21	5.10850635168907e-19	K562_MAGOH	False	ENSG00000134107.5	BHLHE40	18.291706062300232
82	ENST00000316448.10	18003.827276180902	-0.686524894431904	0.0724462956532469	-9.47632847534194	2.6338757237042496e-21	5.33058366346795e-19	K562_MAGOH	False	ENSG00000179218.14	CALR	18.273225236011772
83	ENST00000362012.7	647.4495488484099	-1.6278998828851599	0.17191326683193098	-9.46930922135669	2.81700388316484e-21	5.6333370511194e-19	K562_MAGOH	False	ENSG00000095303.17	PTGS1	18.249234263488216
84	ENST00000423118.5	2293.5320756858605	1.23377071310723	0.130711486415642	9.438885188590339	3.7676649369184e-21	7.30201716671194e-19	K562_MAGOH	False	ENSG00000008710.20	PKD1	18.136557150378415
85	ENST00000317147.10	8784.886869756421	-0.565803849832408	0.0599333956197225	-9.44054385675783	3.70849488482496e-21	7.30201716671194e-19	K562_MAGOH	False	ENSG00000125107.18	CNOT1	18.136557150378415
86	ENST00000295770.4	5239.4563220113005	-0.843020763219365	0.0893173214039731	-9.43849132472825	3.781851967519579e-21	7.30201716671194e-19	K562_MAGOH	False	ENSG00000163527.10	STT3B	18.136557150378415
87	ENST00000375650.5	3734.8837900015296	0.8156204971657159	0.0877850366052106	9.291110748563538	1.52686484162784e-20	2.91457677382551e-18	K562_MAGOH	False	ENSG00000204388.7	HSPA1B	17.535424500300056
88	ENST00000491935.5	916.724168827766	1.46792940551985	0.15836444505568803	9.269311713267859	1.87350969724216e-20	3.53609167351391e-18	K562_MAGOH	False	ENSG00000130706.13	ADRM1	17.451476484387147
89	ENST00000296873.11	4912.02779916969	-0.636427369233304	0.0687029689866422	-9.26346238918791	1.97908168944558e-20	3.69384602436743e-18	K562_MAGOH	False	ENSG00000164402.14	SEPTIN8	17.432521211808954
90	ENST00000322810.8	1689.91479561202	1.2978770034154399	0.140713293134915	9.22355645653916	2.87405922788389e-20	5.25007836360785e-18	K562_MAGOH	False	ENSG00000178209.15	PLEC	17.279834214188618
91	ENST00000372022.6	992.43297801642	1.20126331435022	0.130239323534612	9.223507015766831	2.87538522116872e-20	5.25007836360785e-18	K562_MAGOH	False	ENSG00000148296.7	SURF6	17.279834214188618
92	ENST00000389266.8	11693.764115740802	-0.49022891078125297	0.0535605985063198	-9.152790007068528	5.54817599757073e-20	9.914708553956719e-18	K562_MAGOH	False	ENSG00000106105.14	GARS1	17.00372004749687
93	ENST00000246117.9	897.500874042823	1.29367128370879	0.14133279672948498	9.15336930737255	5.51849390907475e-20	9.914708553956719e-18	K562_MAGOH	False	ENSG00000125912.11	NCLN	17.00372004749687
